      सड़क परिवहन एवं राजमार्ग मंत्रालय

      यातायात भीड़भाड़ को कम करने हेतु डबल डेकर लग्जरी बसें
      Posted On: 21 DEC 2017 4:46PM by PIB Delhi


    सड़क परिवहन और राजमार्ग मंत्रालय ने यात्री आगमन संवर्धन के लिए विश्‍व बैंक तकनीकी सहायता (डब्‍ल्‍यूबीटीए-27) के अंतर्गत एक अध्‍ययन शुरू किया है। अध्‍ययन में विभिन्‍न राज्‍यों एवं संघ राज्‍य क्षेत्रों में 75 मार्गों को अभिनिर्धारित किया है। अध्‍ययन में पाया गया कि इन मार्गों पर बसों की तुलना में निजी वाहनों की हिस्से दारी ज्यादा है। अध्ययन में इन मार्गों की पहचान करने के लिए देश के सभी भारतीय यातायात सर्वेक्षण आंकड़ों और प्रमुख कॉरिडोर को कवर करने वाले टोल डेटा का आकलन किया है। इन 75 मार्गों की सूची निम्न प्रकार से है।

                                                                                                 
क्र. सं  मार्ग                        मूल स्‍थान    मूल राज्य        गंतव्य स्‍थान  गंतव्य राज्य 
                                                                                                 
                                                                                                 
                                                                                                 
1        दिल्ली - शिमला               दिल्ली        दिल्ली           शिमला          हिमाचल प्रदेश
                                                                                                 
                                                                                                 
                                                                                                 
2        शिलांग - गुवाहाटी            शिलांग        मेघालय           गुवाहाटी       असम          
                                                                                                 
                                                                                                 
                                                                                                 
3        ग्वालियर-भोपाल               ग्वालियर      मध्य प्रदेश      भोपाल          मध्य प्रदेश  
                                                                                                 
                                                                                                 
                                                                                                 
4        भोपाल- देवास- इंदौर          भोपाल         मध्य प्रदेश      इंदौर          मध्य प्रदेश  
                                                                                                 
                                                                                                 
                                                                                                 
5        इंदौर- धुले - नासिक          इंदौर         मध्य प्रदेश      नासिक          महाराष्ट्र   
                                                                                                 
                                                                                                 
                                                                                                 
6        अमृतसर-बीकानेर               अमृतसर        पंजाब            बीकानेर        राजस्थान     
                                                                                                 
                                                                                                 
                                                                                                 
7        जोधपुर-जामनगर                जोधपुर        राजस्थान         जामनगर         गुजरात       
                                                                                                 
                                                                                                 
                                                                                                 
8        बेंगलुरु - नीलगिरी           बेंगलुरु      कर्नाटक          नीलगिरी        तमिलनाडु     
                                                                                                 
                                                                                                 
                                                                                                 
9        बेंगलुरु - तिरुपति           बेंगलुरु      कर्नाटक          तिरुपति        आंध्र प्रदेश 
                                                                                                 
                                                                                                 
                                                                                                 
10       बेंगलुरु - मंगलौर            बेंगलुरु      कर्नाटक          मंगलौर         कर्नाटक      
                                                                                                 
                                                                                                 
                                                                                                 
1 1      पटियाला-भटिंडा               पटियाला       पंजाब            भटिंडा         पंजाब        
                                                                                                 
                                                                                                 
                                                                                                 
12       चेन्नई-कुरनूल                चेन्नई        तमिलनाडु         कुरनूल         आंध्र प्रदेश 
                                                                                                 
                                                                                                 
                                                                                                 
13       चेन्नई-तिरुचिरापल्ली         चेन्नई        तमिलनाडु         तिरुचिरापल्ली  तमिलनाडु     
                                                                                                 
                                                                                                 
                                                                                                 
14       कोयम्बटूर- तंजौर             कोयम्बटूर     तमिलनाडु         तंजौर          तमिलनाडु     
                                                                                                 
                                                                                                 
                                                                                                 
