      अर्थ मंत्रालय

      वस्तू आणि सेवा कर विधेयकाची अंमलबजावणी झाल्यानंतर अप्रत्यक्ष कर कमी होणाऱ्या वस्तूंची सूची
      Posted On: 15 JUN 2017 3:20PM by PIB Mumbai


    नवी दिल्ली 15 जून 201 7


    देशात 1 जुलै 2017 पासून नवीन वस्तू आणि सेवा कर लागू होत आहे. वस्तू आणि सेवा कर परिषदेने मंजूर केलेली कर रचना लागू करण्याची संयुक्त जबाबदारी केंद्र आणि राज्य शासनाची आहे. त्यामुळे नवीन कर धोरणानुसार जनतेला वस्तू आणि सेवा पुरवल्या जाणार आहेत.


    सध्या दैनंदिन उपयुक्ततेच्या ज्या वस्तूंवर ज्या दराने अप्रत्यक्ष कर लावला जातो. त्यापेक्षा कमी कर दर “ जीएसटी ” मुळे आकारला जाणार आहे.


    अप्रत्यक्ष कर कमी होणाऱ्या 89 वस्तूंची सूची

                                                                                    
अनुक्रम  भाग/शीर्षक/उपशीर्षक/कर वस्तू  मालाचा तपशील                                 
                                                                                    
                                                                                    
                                                                                    
1        4                             दुधाची भुकटी                                 
                                                                                    
                                                                                    
                                                                                    
2        4                             दही,लस्सी,पॅकबंद ताक                         
                                                                                    
                                                                                    
                                                                                    
3        4                             ब्रँड नसलेला नैसर्गिक मध                     
                                                                                    
                                                                                    
                                                                                    
4        0401                          युएचटी दूध                                   
                                                                                    
                                                                                    
                                                                                    
5        0405                          दुग्धजन्य पदार्थ                             
                                                                                    
                                                                                    
                                                                                    
6        0406                          चीज                                          
                                                                                    
                                                                                    
                                                                                    
7        801                           काजू                                         
                                                                                    
                                                                                    
                                                                                    
8        806                           मनुका                                        
                                                                                    
                                                                                    
                                                                                    
9        9                             मसाले                                        
                                                                                    
                                                                                    
                                                                                    
10       9                             चहा                                          
                                                                                    
                                                                                    
                                                                                    
11       10                            गहू                                          
                                                                                    
                                                                                    
                                                                                    
12       10                            तांदूळ                                       
                                                                                    
                                                                                    
                                                                                    
13       11                            पिठ                                          
                                                                                    
                                                                                    
                                                                                    
14       15                            सोयाबीन तेल                                  
                                                                                    
                                                                                    
                                                                                    
15       15                            शेंगदाणा तेल                                 
                                                                                    
                                                                                    
                                                                                    
16       15                            पाम तेल                                      
                                                                                    
                                                                                    
                                                                                    
17       15                            सूर्यफूल तेल                                 
                                                                                    
                                                                                    
                                                                                    
18       15                            खोबरेल तेल                                   
                                                                                    
                                                                                    
                                                                                    
19       15                            मोहरीचे तेल                                  
                                                                                    
                                                                                    
                                                                                    
20       15                            सूर्यफूल तेल                                 
                                                                                    
                                                                                    
                                                                                    
21       15                            इतर खाद्यतेले                                
                                                                                    
                                                                                    
                                                                                    
22       17                            साखर                                         
                                                                                    
                                                                                    
                                                                                    
23       1702                          गूळ                                          
                                                                                    
                                                                                    
                                                                                    
24       1704                          साखरेचे पदार्थ                               
                                                                                    
                                                                                    
                                                                                    
25       1902                          पास्ता, स्पॅगेटी,मॅक्रोनी,नुडल्स             
                                                                                    
                                                                                    
                                                                                    
26       20                            फळे आणि भाज्यांच्या वस्तू आणि इतर अन्न पदार्थ
                                                                                    
                                                                                    
                                                                                    
