      Ministry of Urban Development

      Swachh Survekshan 2017 Rankings
      Posted On: 04 MAY 2017 2:36PM by PIB Delhi

                                                                                    
Ranking  City                                            State                      
                                                                                    
                                                                                    
                                                                                    
1        Indore                                          Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
2        Bhopal                                          Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
3        Visakhapatnam (Vizag)                           Andhra Pradesh             
                                                                                    
                                                                                    
                                                                                    
4        Surat                                           Gujarat                    
                                                                                    
                                                                                    
                                                                                    
5        Mysuru (Mysore)                                 Karnataka                  
                                                                                    
                                                                                    
                                                                                    
6        Tiruchirappalli (Trichy)                        Tamil Nadu                 
                                                                                    
                                                                                    
                                                                                    
7        New Delhi Municipal Council (NDMC)              Delhi                      
                                                                                    
                                                                                    
                                                                                    
8        Navi Mumbai                                     Maharashtra                
                                                                                    
                                                                                    
                                                                                    
9        Tirupati                                        Andhra Pradesh             
                                                                                    
                                                                                    
                                                                                    
10       Vadodara                                        Gujarat                    
                                                                                    
                                                                                    
                                                                                    
11       Chandigarh                                      Chandigarh                 
                                                                                    
                                                                                    
                                                                                    
12       Ujjain                                          Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
13       Pune                                            Maharashtra                
                                                                                    
                                                                                    
                                                                                    
14       Amdavad (Ahmedabad)                             Gujarat                    
                                                                                    
                                                                                    
                                                                                    
15       Ambikapur                                       Chattisgarh                
                                                                                    
                                                                                    
                                                                                    
16       Coimbatore                                      Tamil Nadu                 
                                                                                    
                                                                                    
                                                                                    
17       Khargone                                        Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
18       Rajkot (M. Corp)                                Gujarat                    
                                                                                    
                                                                                    
                                                                                    
19       Vijayawada                                      Andhra Pradesh             
                                                                                    
                                                                                    
                                                                                    
20       Gandhinagar (NA)                                Gujarat                    
                                                                                    
                                                                                    
                                                                                    
21       Jabalpur                                        Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
22       Greater Hyderabad Municipal Corporation (GHMC)  Telangana                  
                                                                                    
                                                                                    
                                                                                    
23       Sagar                                           Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
24       Murwara (Katni)                                 Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
25       Navsari                                         Gujarat                    
                                                                                    
                                                                                    
                                                                                    
26       Vapi                                            Gujarat                    
                                                                                    
                                                                                    
                                                                                    
27       Gwalior                                         Madhya Pradesh             
                                                                                    
                                                                                    
                                                                                    
28       Warangal                                        Telangana                  
                                                                                    
                                                                                    
                                                                                    
29       Greater Mumbai                                  Maharashtra                
                                                                                    
                                                                                    
                                                                                    
30       Suryapet                                        Telangana                  
                                                                                    
                                                                                    
                                                                                    
31       Tadipatri                                       Andhra Pradesh             
                                                                                    
                                                                                    
                                                                                    
32       Varanasi                                        Uttar Pradesh              
                                                                                    
                                                                                    
                                                                                    
33       Bhavnagar                                       Gujarat                    
                                                                                    
                                                                                    
                                                                                    
34       Kalol                                           Gujarat                    
                                                                                    
                                                                                    
                                                                                    
35       Jamnagar                                        Gujarat                    
                                                                                    
                                                                                    
                                                                                    
36       Omkareshwar                                     Madhya Pradesh             
