      ਸ਼ਹਿਰੀ ਵਿਕਾਸ,ਹਾਊਸਿੰਗ ਅਤੇ ਸ਼ਹਿਰੀ ਗਰੀਬੀ ਨਵਿਰਤੀ ਮੰਤਰਾਲਾ

      ਸਵੱਛ ਸਰਵੇਖਸ਼ਣ-2017: ਰੈਂਕਿੰਗਜ਼ ਦੀਆਂ ਮੱਦਾਂ ਵਿੱਚ ਵੱਖੋ-ਵੱਖਰੇ ਰਾਜਾਂ/ਯੂ.ਟੀਜ਼ ਦੀ ਕਾਰਗੁਜ਼ਾਰੀ ਦਾ ਖ਼ੁਲਾਸਾ
      Posted On: 05 MAY 2017 4:36PM by PIB Chandigarh


    Swachh Survekshan – 2017: Sanitation Rankings of Cities/Towns State/UT-wise


    ਸਵੱਛ ਸਰਵੇਖਸ਼ਣ-2017: ਰੈਂਕਿੰਗਜ਼ ਦੀਆਂ ਮੱਦਾਂ ਵਿੱਚ ਵੱਖੋ-ਵੱਖਰੇ ਰਾਜਾਂ/ਯੂ.ਟੀਜ਼ ਦੀ ਕਾਰਗੁਜ਼ਾਰੀ ਦਾ ਖ਼ੁਲਾਸਾ

                                                                                                                                                                                                                                                                                   
ਲੜੀ ਨੰ.  ਰਾਜ/ਯੂ.ਟੀ. (ਸਰਵੇਖਣ ਕੀਤੇ ਸ਼ਹਿਰਾਂ ਦੀ ਗਿਣਤੀ)  ਬੈੱਸਟ ਰੈਂਕ/ਸ਼ਹਿਰ              ਸਭ ਤੋਂ ਘੱਟ ਰੈਂਕ/ਸ਼ਹਿਰ  ਪਹਿਲੇ 50 ਰੈਂਕਾਂ ਵਿੱਚ ਸ਼ਹਿਰਾਂ ਦੀ ਗਿਣਤੀ  ਪਹਿਲੇ 100 ਰੈਂਕਾਂ ਵਿੱਚ ਸ਼ਹਿਰਾਂ ਦੀ ਗਿਣਤੀ  ਸਭ ਤੋਂ ਹੇਠਲੇ 50 ਰੈਂਕਾਂ ਵਿੱਚ ਸ਼ਹਿਰਾਂ ਦੀ ਗਿਣਤੀ  ਸਭ ਤੋਂ ਹੇਠਲੇ 100 ਰੈਂਕਾਂ ਵਿੱਚ ਸ਼ਹਿਰਾਂ ਦੀ ਗਿਣਤੀ
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
1        ਅੰਡੇਮਾਨ ਤੇ ਨਿਕੋਬਾਰ ਟਾਪੂ (1)                ਪੋਰਟ ਬਲੇਅਰ                    -                      0                                      0                                       0                                             0                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                    -221                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
2        ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼ (32)                         ਵਿਜੇਵਾੜਾ -3                   ਮਦਨਾਪੱਲੀ -281          8                                      16                                      0                                             0                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
3        ਅ ਰੁਣਾਂ ਚਲ ਪ੍ਰਦੇਸ਼ (1)                     ਈਟਾਨਗਰ -216                   -                      0                                      0                                       0                                             0                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
4        ਅਸਮ (4)                                    ਗੁਵਾਹਾਟੀ -                    ਡਿਬਰੂਗੜ੍ਹ -297         0                                      0                                       0                                             0                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                    134                                                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
5        ਬਿਹਾਰ (27)                                 ਬਿਹਾਰਸ਼ਰੀਫ਼ -146              ਬਗਾਹਾ -432             0                                      1                                       9                                             15                                           
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
6        ਚੰਡੀਗੜ੍ਹ                                   ਚੰਡੀਗੜ੍ਹ ਸ਼ਹਿਰ -11            -                      1                                      1                                       0                                             0                                            
                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                   
         (1)                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                   
