      شہری ترقی کی وزارت

      سووچھ سرویکشن 2017 کی درجہ بندی
      Posted On: 04 MAY 2017 6:50PM by PIB Delhi


    نئی دہلی،4 مئی،

                                                                                  
درجہ بندی  شہر                                                ریاست               
                                                                                  
                                                                                  
                                                                                  
1          اندور                                              مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
2          بھوپال                                             مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
3          وشاکھاپٹنم (وزاگ)                                  آندھراپردیش        
                                                                                  
                                                                                  
                                                                                  
4          سورت                                               گجرات               
                                                                                  
                                                                                  
                                                                                  
5          میسورو (میسور)                                     کرناٹک              
                                                                                  
                                                                                  
                                                                                  
6          تریچراپلی (تریچی)                                  تمل ناڈو            
                                                                                  
                                                                                  
                                                                                  
7          نیو دہلی میونسپل کارپوریشن (این ڈی ایم سی)         دلی                 
                                                                                  
                                                                                  
                                                                                  
8          نوی ممبئی                                          مہاراشٹر            
                                                                                  
                                                                                  
                                                                                  
9          تروپتی                                             آندھراپردیش        
                                                                                  
                                                                                  
                                                                                  
10         ودوڈرہ                                             گجرات               
                                                                                  
                                                                                  
                                                                                  
11         چندی گڑھ                                           چندی گڑھ            
                                                                                  
                                                                                  
                                                                                  
12         اجین                                               مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
13         پنے                                                مہاراشٹر            
                                                                                  
                                                                                  
                                                                                  
14         امداود (احمد آباد)                                گجرات               
                                                                                  
                                                                                  
                                                                                  
15         امبیکا پور                                         چھتیس گڑھ           
                                                                                  
                                                                                  
                                                                                  
16         کوئمبٹور                                           تمل ناڈو            
                                                                                  
                                                                                  
                                                                                  
17         کھارگون                                            مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
18         راجکوٹ (میونسپل کارپوریشن)                         گجرات               
                                                                                  
                                                                                  
                                                                                  
19         وجے واڑہ                                           آندرھراپردیش       
                                                                                  
                                                                                  
                                                                                  
20         گاندھی نگر                                         گجرات               
                                                                                  
                                                                                  
                                                                                  
21         جبلپور                                             مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
22         گریٹر حیدرآباد میونسپل کارپوریشن (جی ایچ ایم سی)  تلنگانہ             
                                                                                  
                                                                                  
                                                                                  
23         ساگر                                               مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
24         مروارا (کانٹی )                                    مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
25         نواسی                                              گجرات               
                                                                                  
                                                                                  
                                                                                  
26         واپی                                               گجرات               
                                                                                  
                                                                                  
                                                                                  
27         گوالیار                                            مدھیہ پردیش         
                                                                                  
                                                                                  
                                                                                  
28         وارنگل                                             تلنگانہ             
                                                                                  
                                                                                  
                                                                                  
29         گریٹر ممبئی                                        مہاراشٹر            
                                                                                  
                                                                                  
                                                                                  
30         سوریہ پیٹ                                          تلنگانہ             
                                                                                  
                                                                                  
                                                                                  
31         تاڈیپٹری                                           آندھراپردیش        
                                                                                  
                                                                                  
                                                                                  
32         ورانسی                                             اترپردیش            
                                                                                  
                                                                                  
                                                                                  
33         بھاونگر                                            گجرات               
                                                                                  
                                                                                  
                                                                                  
34         کالول                                              گجرات               
