      شہری ترقی کی وزارت

      سووچھ سریکشن 2017: درجہ بندی کے سلسلے میں مختلف ریاستوں/ مرکز کے زیر انتظام علاقوں کی کارکردگی کا خلاصہ
      Posted On: 04 MAY 2017 8:50PM by PIB Delhi

                                                                                                                                                                                                                                                                        
نمبر شمار  ریاست/ مرکز کے زیر انتظام علاقہ (سروے کئے گئے شہروں کی تعداد)  بہترین درجہ بند/ شہر                 سب سے کم رینک/ شہر    50 سرفہرست شہروں میں درجہ بندی تعداد  100 شہروں کی درجہ بندی تعداد  تلہٹی پر 50 شہروں کی درجہ بندی  تلہٹی پر 100 شہروں کی درجہ بندی
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
1          انڈومان جزائر(1)                                               پورٹ بلیر۔ 221                       ۔                     0                                     0                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
2          اے پی (32)                                                     وجے واڑہ۔3                           مدنا پلی۔ 281         8                                     16                            0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
3          اروناچل پردیش (1)                                              ایٹا نگر۔ 216                        ۔                     0                                     0                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
4          آسام (4)                                                       گوہاٹی۔ 134                          ڈبرو گڑھ۔ 297         0                                     0                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
5          بہار (27)                                                      بہار شریف۔ 146                       باگھا پور۔ 432        0                                     1                             9                               15                             
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
6          چنڈی گڑھ (1)                                                   چنڈی گڑھ سٹی۔ 11                     ۔                     1                                     1                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
7          چھتیس گڑھ (8)                                                  امبیکا پور۔ 15                       جگدل پور۔ 232         1                                     3                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
8          دادر اور نگر حویلی (1)                                         سلواسا۔ 264                          ۔                     0                                     0                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
9          دمن و دیو (2)                                                  دیو۔ 340                             دمن ۔ 350             0                                     0                             0                               2                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
10         دہلی (5)                                                       نئی دہلی میونسپل کمیٹی۔ 7            نارتھ ایم سی ڈی۔ 279  1                                     1                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
11         گوا (1)                                                        پناجی۔ 90                            ۔                     0                                     1                             0                               0                              
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                        
