      Ministry of Railways

      Bio-Toilets in Trains
      Posted On: 01 AUG 2018 5:35PM by PIB Delhi


    The year-wise and zone-wise details of total number of bio-toilets installed in passenger coaches vis-à-vis annual target during the last two years i.e. in 2016-17 and in 2017-18 is as under:-

                                                           
                    No. of bio-toilets in passenger coaches
                                                           
                                                           
                                                                                         
                    In the year 2016-17                      In the year 2017-18         
                                                                                         
                                                                                         
                                                                                                                               
Zonal Railway       Target                                   No. of bio-toilets installed  Target  No. of bio-toilets installed
                                                                                                                               
                                                                                                                               
                                                                                                                               
Central             2000                                     2164                          2400    3552                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
East Coast          850                                      958                           2400    3400                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
East Central        1200                                     358                           3600    1391                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
Eastern             1200                                     1281                          2800    3440                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Central       500                                      230                           1200    442                         
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Eastern       800                                      2008                          2000    1190                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
Northeast Frontier  850                                      788                           2800    2482                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
Northern            1800                                     2159                          4000    4415                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Western       850                                      790                           2000    2215                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Central       1400                                     2036                          3600    4138                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
South East Central  400                                      87                            800     208                         
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Eastern       1050                                     561                           1600    1877                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
Southern            1950                                     3211                          4000    5747                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Western       850                                      1814                          2400    3452                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
West Central        2850                                     2951                          1600    3886                        
                                                                                                                               
                                                                                                                               
                                                                                                                               
Western             1450                                     859                           2800    2651                        
                                                                                                                               
                                                                                                                               

    The year-wise and zone-wise details of the funds allocated and expenditure booked for installation of bio-toilets in passenger coaches during the last two years i.e. in 2016-17 and in 2017-18 is as under:-

                                                                      
                    Funds allocated/ Expenditure booked (in Rs. Crore)
                                                                      
                                                                      
                                                                                          
                    In year 2016-17                                     In year 2017-18   
                                                                                          
                                                                                          
                                                                                                                               
Zonal Railway       Funds allocated                                     Expenditure booked  Funds allocated  Expenditure booked
                                                                                                                               
                                                                                                                               
                                                                                                                               
Central             22                                                  16.31               34.5             34.52             
                                                                                                                               
                                                                                                                               
                                                                                                                               
East Coast          21                                                  48.63               34.5             78.98             
                                                                                                                               
                                                                                                                               
                                                                                                                               
East Central        6                                                   6.99                52               12.34             
                                                                                                                               
                                                                                                                               
                                                                                                                               
Eastern             11                                                  9.62                40               18.58             
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Central       3                                                   5.69                17               9.25              
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Eastern       17                                                  9.96                29               19.4              
                                                                                                                               
                                                                                                                               
                                                                                                                               
Northeast Frontier  14                                                  8.16                40               15.1              
                                                                                                                               
                                                                                                                               
                                                                                                                               
Northern            29                                                  13.42               57               27.62             
                                                                                                                               
                                                                                                                               
                                                                                                                               
North Western       22                                                  10.26               29               20.12             
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Central       19                                                  15.6                52               32.81             
                                                                                                                               
                                                                                                                               
                                                                                                                               
South East Central  24                                                  7.13                37.5             12.67             
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Eastern       9                                                   10.86               23               21.56             
                                                                                                                               
                                                                                                                               
                                                                                                                               
Southern            44                                                  23.33               57               51.23             
                                                                                                                               
                                                                                                                               
                                                                                                                               
South Western       14                                                  6.83                34.5             11.96             
                                                                                                                               
                                                                                                                               
                                                                                                                               
West Central        35                                                  26.15               23               118.9             
                                                                                                                               
                                                                                                                               
                                                                                                                               
Western             10                                                  15.8                40               33.3              
                                                                                                                               
                                                                                                                               

    Indian Railways propose to install bio-toilets in all the passenger carrying coaches by the year 2019.


    Presently, the cost of providing 4 bio-toilets on a coach is ` 4.13 lakh i.e. approximately ` 1.0 lakh per bio-toilet and around 17,500 more passenger carrying coaches are to be provided with bio-toilets.


    To complete the work of installation of bio-toilets in entire coaching fleet within stipulated time frame, following steps are being taken by Indian Railways:


    1. All new coaches, being turned out from coach Production Units of Indian Railways, are fitted with bio-toilets.


    2. Railway workshops have been instructed to retro-fit bio-toilets in all existing in-service eligible coaches undergoing mid-life rehabilitation and periodical overhaul.


    3. Retro-fitment of bio-toilets is also being done in coaching depots.


    This information was given by the Minister of State of Railways, Shri Rajen Gohain in a written reply to a question in Lok Sabha today.


    ****


    SVS/MKV/ENS

    
    
    (Release ID: 1541061) Visitor Counter : 675
