      Ministry of Road Transport & Highways

      Projects to Improve the Condition of Roads in Punjab
      Posted On: 02 AUG 2018 3:33PM by PIB Delhi


    The Minister of State for Road Transport and Shipping and Chemical & Fertilizers Shri Mansukh L Mandaviya in a written reply to a question in Lok Sabha today informed that the details of projects sanctioned to improve the conditions of National Highways in the State of Punjab in year 2014-2018 are as follows :

                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Sr. No.  Name of the Project                                                                                                                                                                                                                                                                                                                 Name of districts involved                           Length of the project(Km)  Time line for completion
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1        Improvement of Amritsar bypass by construction of addtional structures and service road on NH-1 between km 448+510 to km 473+068 on the state of Punjab on EPC (PIU-Jalandhar)                                                                                                                                                      Amritsar                                             24.55                      10.11.2018              
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2        ROB at Amritsar in Km.112.50 on LC No. A/12/B/2 along with HLB over adjoining UBDC Canal.                                                                                                                                                                                                                                           Amritsar                                             0.00                       March, 2019             
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3        Consultancy for conducting FS & preparing DPR for newly declared NH 503Ai.e. ASR -Mehta-Sri Hargobindpur Tanda Hoshiarpur Una Road                                                                                                                                                                                                  Amritsar & Hoshiarpur                                0                          Work Completed          
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
4        4-laning of Amritsar-Taran Tran-Harike section of NH-15 from Km 112.575 to 158.350                                                                                                                                                                                                                                                  Amritsar & Tarntaran                                 45.775                     Work completed          
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
5        Reconstruction/Widening of culverts at km 296.770, 305.160 & km 316.400                                                                                                                                                                                                                                                             Bathinda                                             0                          Nov, 2018               
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
6        Const. of H/L Br. 5 span 50.91 m over Lisara Drain at vill.Sangar x-ingkm.21.948 & const. of H/L Br. 6 span 67.91 m over Lisara Drain at vill.Pathrala in km 36.72 sec.bti.-dabwali rd. CWD BTI.                                                                                                                                    Bathinda                                             -                          Work completed          
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
7        Road safety Km. 0.00 to 40.440 on section Bathinda-Dabwali                                                                                                                                                                                                                                                                          Bathinda                                             0.00                       Work completed          
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                     
