      Ministry of Road Transport & Highways

      Surveillance System in Toll Plazas
      Posted On: 09 AUG 2018 5:19PM by PIB Delhi


    The Minister of State for Road Transport and Highways, Shipping and Chemical & Fertilizers Shri Mansukh L Mandaviya in a written reply to a question in Lok Sabha today informed that the


    National Highways Authority of India (NHAI) had invited e-bids from eligible bidders for setting up Central Command & Control Centre at NHAI-HQ connected with Regional Offices and CCTV Surveillance & Monitoring of Vehicular Congestion on 210 toll plazas on National Highways. After successful demonstration of Proof of Concept (PoC) at 10 fee plazas, the system will be rolled-out to another 200 toll plazas where daily traffic flow is more than 10,000 vehicles. The details of 210 fee plazas are as follows:

                                                                                                                                   
Sl. No.  NH No.          Fee Plaza Name                            Fee Plaza Location                                              
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
1        4               Bankapur                                  Km 352.550                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
2        4               Hirebagewadi                              Km 482.600                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
3        4               Kognoli                                   Km 591.240                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
4        4               Hattargi                                  Km 537.770                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
5        73 (Old 48)     Brahamarakotlu                            Km 331.290                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
6        4               Banglore - Neelamangla                    Km 14.825, Km 26.075, Km 16.600 , Km 17.100, Km 23.150, Km 3.800
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
7        4               Chalageri                                 Km 288.200                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
8        75 (Old 4)      Karbylu (Bellur Cross)                    Km 100.250                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
9        7               Bagepalli                                 Km 464.774                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
10       75 (Old 4)      Hoskote                                   Km 307.700                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
11       48              Kirasave                                  Km 119.100                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
12       48              Shanthigrama                              Km 169.350                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
13       4               Karjeevanhalli                            Km 104.530                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
14       48 (Old 4)      Kaythsandra/Tumkur/Chokkanahalli          Km 61.430                                                       
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
15       50 (Old 13)     Kasaba (Bijapur)                          Km 103.888 (Km 227.700 of New NH-50)                            
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
16       4               Guilalu                                   Km 172.770                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
17       48 (Old 4)      Hebbalu                                   Km 237.650                                                      
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
18       7               Attibele (BETL)                           Km 32.700                                                       
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
19       48 (Old 4)      Neelamangala - Tumkur /Kulumepalya        Km 30.00                                                        
                                                                                                                                   
                                                                                                                                   
                                                                                                                                   
20       7               Elevated Section/ Electronic City         Km 18.000                                                       
                                                                                                                                   
                                                                                                                                   
