      सड़क परिवहन एवं राजमार्ग मंत्रालय

      पंजाब में सड़कों की स्थिति में सुधार लाने हेतु परियोजना
      Posted On: 02 AUG 2018 6:47PM by PIB Delhi


    केंद्रीय सड़क परिवहन और शिपिंग तथा रसायन व उर्वरक राज्‍य मंत्री श्री मनसुख एल मंडाविया ने आज लोकसभा में एक लिखित उत्‍तर में बताया कि पंजाब राज्‍य में सड़कों की स्थिति में सुधार के लिए विभिन्‍न परियोजनाओं को मंजूरी दी गई है।2014-18 के लिए मंजूर की गई परियोजनाओं का विवरण निम्‍न है :-* स्वीकृति पत्र दे दिया गया

                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
क्र. सं.  परियेाजना का नाम                                                                                                                                                                                                                                                                                                                                           शामिल जिलों के नाम                               परियोजना की लंबाई ( किमी )  पूरा करने की समय-सीमा
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
1         ईपीसी आधार पर पंजाब राज्‍य में रारा-1 पर किमी 448+510 से किमी 473+068 के बीच अतिरिक्‍त संरचनाओं और सर्विस रोड के निर्माण द्वारा अमृतसर बाइपास का सुधार (पीआईयू-जालंधर)                                                                                                                                                                                     अमृतसर                                           24.55                       10.11.2018           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2         अमृतसर पर किमी.112.50 में यूबीडीसी नहर को जोड़ने वाले एचएलबी के साथ-साथ एलसी सं. ए/12/बी/2 पर आरओबी                                                                                                                                                                                                                                                        अमृतसर                                           0.00                        मार्च, 2019          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3         नए घोषित रारा-530ए अर्थात् एएसआर-मेहता – श्री हरगोबिंदपुर टांडा होशियारपुर उना रोड के एफएस तथा डीपीआर तैयार करने के लिए परामर्शी                                                                                                                                                                                                                           अमृतसर और होशियारपुर                             0                           कार्य पूर्ण          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
4         रारा-15 किमी 112.575 से 158.350 तक अमृतसर-तरनतारन-हरिके खंड को 4-लेन का बनाना                                                                                                                                                                                                                                                                              अमृतसर और तरनतारन                                45.775                      कार्य पूर्ण          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
5         किमी 296.770, 305.160 और किमी 316.400 पर पुनर्निर्माण/पुलियाओं का चौड़ीकरण                                                                                                                                                                                                                                                                                 भटिंडा                                           0                           नवं., 2018           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
