      गृह मंत्रालय

      स्‍वतंत्रता दिवस पुलिस पदकों की घोषणा
      Posted On: 14 AUG 2018 4:40PM by PIB Delhi


    इस वर्ष स्‍वतंत्रता दिवस के अवसर पर 942 कर्मियों को पुलिस पदक प्रदान किये गये। वीरता के लिए राष्‍ट्रपति का पुलिस पदक (पीपीएमजी) दो कर्मियों को प्रदान किया गया है। वीरता के लिए पुलिस पदक (पीएमजी) 117 कर्मियों, विशिष्‍ट सेवा के लिए राष्‍ट्रपति का पुलिस पदक (पीपीएमडीएएस) 88 कर्मियों तथा सराहनीय सेवा के लिए पुलिस पदक (पीएमएमएस) 675 कर्मियों को प्रदान किये गये हैं।


    स्‍वतंत्रता दिवस 2018 के अवसर पर पदक से सम्‍मानित पुलिसकर्मियों की संगठनवार/राज्‍यवार सूची

                                                                                                                                                                                                                                               
क्र.संख्‍या  राज्‍य/संगठन का नाम                        वीरता के लिए राष्‍ट्रपति का पुलिस पदक (पीपीएमपीजी)  वीरता के लिए पुलिस पदक (पीएमजी)  विशिष्ट सेवा के लिए राष्ट्रपति का पुलिस पदक (पीपीएमडीएस)  सराहनीय सेवा के लिए पुलिस पदक (पीएमएमएस)
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
1            आंध्र प्रदेश                               00                                                  00                               02                                                        14                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
2            अरूणाचल प्रदेश                             00                                                  00                               00                                                        02                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
3            असम                                        00                                                  03                               02                                                        27                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
4            बिहार                                      00                                                  01                               01                                                        12                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
5            छत्‍तीसगढ़                                 00                                                  06                               01                                                        09                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
6            दिल्‍ली                                    00                                                  05                               03                                                        16                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
7            गोवा                                       00                                                  00                               00                                                        02                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
8            गुजरात                                     00                                                  00                               04                                                        25                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
9            हरियाणा                                    00                                                  00                               01                                                        12                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
10           हिमाचल प्रदेश                              00                                                  00                               01                                                        04                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
11           जम्मू-कश्‍मीर                              00                                                  37                               01                                                        09                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
12           झारखंड                                     00                                                  00                               00                                                        12                                      
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                               
