      جدید اور قابل تجدید توانائی کی وزارت

      شمسی بجلی پیدا کرنے کی لاگت
      Posted On: 02 AUG 2018 6:37PM by PIB Delhi


    نئی دہلی، 02 اگست / سڑک نقل و حمل اور جہاز رانی نیز کیمیکلز اور کھادوں کے وزیر مملکت جناب منسکھ لال منڈاویہ نے آج لوک سبھا میں ایک سوال کے تحریری جواب میں اطلاع دی کہ 18-2017 ء کے دوران سڑک نقل و حمل اور شاہراہوں کی وزارت کی مختلف اسکیموں کے تحت قومی شاہراہوں / سڑکوں کی تعمیر کے لئے مختص فنڈز اور خرچ بالترتیب 109453.84 کروڑ روپئے اور 100179.05 کروڑ روپئے تھا ۔ اس میں اندرونی اور فاضل بجٹ وسائل ( آئی ای بی آر ) شامل ہیں ۔ 19-2018 ء کے دوران تقریباً 10000 کلو میٹر طویل قومی شاہراہوں / سڑکوں کی تعمیر مکمل کرنے کا نشانہ مقرر کیا گیا ہے ۔ بجٹ تخمینہ 19-2018 ء کے تحت 120556.74 کروڑ روپئے مختص کئے گئے ہیں ۔ اس میں 62000 کروڑ روپئے کی آئی ای بی آر شامل ہے ۔


    سال 18-2017 ء کے دوران تعمیر شدہ قومی شاہراہوں / سڑکوں کی تفصیلات ریاستوں کے لحاظ سے درج ذیل ہیں :

                                                                
نمبر شمار  ریاست / مرکز کے زیر انتظام علاقے  لمبائی کلو میٹر میں
                                                                
                                                                
                                                                
1          آندھرا پردیش                      458                
                                                                
                                                                
                                                                
2          اروناچل پردیش                     188                
                                                                
                                                                
                                                                
3          آسام                              302                
                                                                
                                                                
                                                                
4          بہار                              370                
                                                                
                                                                
                                                                
6          چھتیس گڑھ                         522                
                                                                
                                                                
                                                                
7          دلّی                              139                
                                                                
                                                                
                                                                
8          گوا                               20                 
                                                                
                                                                
                                                                
9          گجرات                             189                
                                                                
                                                                
                                                                
10         ہریانہ                            291                
                                                                
                                                                
                                                                
11         ہماچل پردیش                       134                
                                                                
                                                                
                                                                
12         جموں و کشمیر                      162                
                                                                
                                                                
                                                                
13         جھار کھنڈ                         236                
                                                                
                                                                
                                                                
14         کرناٹک                            768                
                                                                
                                                                
                                                                
15         کیرلا                             17                 
                                                                
                                                                
                                                                
16         مدھیہ پردیش                       594                
                                                                
                                                                
                                                                
17         مہاراشٹر                          1348               
                                                                
                                                                
                                                                
18         منی پور                           231                
                                                                
                                                                
                                                                
19         میگھالیہ                          48                 
                                                                
                                                                
                                                                
20         میزورم                            43                 
                                                                
                                                                
                                                                
21         ناگا لینڈ                         0                  
                                                                
                                                                
                                                                
22         اڈیشہ                             535                
                                                                
                                                                
                                                                
23         پانڈیچری                          17                 
                                                                
                                                                
                                                                
24         پنجاب                             357                
                                                                
                                                                
                                                                
25         راجستھان                          1075               
                                                                
                                                                
                                                                
26         سکم                               45                 
                                                                
                                                                
                                                                
27         تمل ناڈو                          306                
                                                                
                                                                
                                                                
28         تیلنگانہ                          160                
                                                                
                                                                
                                                                
29         تری پورہ                          82                 
                                                                
                                                                
                                                                
30         اتر پردیش                         693                
                                                                
                                                                
                                                                
31         اترا کھنڈ                         256                
                                                                
                                                                
                                                                
32         مغربی بنگال                       222                
                                                                
                                                                
                                                                
33         انڈمان و نکوبار جزائر             21                 
                                                                
                                                                
                                           
میزان      9829                            
                                           
                                           

    سڑک نقل و حمل اور شاہراہوں کی وزارت نے شاہراہوں کی ترقی کے قومی پروجیکٹ ( این ایچ ڈی پی ) ، بھارت مالا پری یوجنا مرحلہ اول ، شمال مشرقی خطے کے لئے خصوصی تیز رو سڑک ترقیاتی پروگرام ( ایس اے آر ڈی پی ۔ این ای ) بشمول سڑکوں کے لئے اروناچل پردیش کا پیکیج ، بائیں بازو کی انتہا پسندی ( ایل ڈبلیو ای ) سے متاثرہ علاقوں میں سڑکوں کی تعمیر کے لئے خصوصی پروگرام ، بیرونی امداد کے حامل پروجیکٹس ( ای اے پی ) قومی شاہراہوں ( اوریجنل ) این ایچ ( او ) جیسی مختلف اسکیموں کے تحت قومی شاہراہوں / سڑکوں کی تعمیر کا کام کر رہی ہے ۔


    U. No. 4013

    
    
    (Release ID: 1541388) Visitor Counter : 1
