      اسٹیل کی وزارت

      فولاد کی پیداوار اور برآمدات
      Posted On: 27 DEC 2018 7:39PM by PIB Delhi


    نئی دہلی، 27 دسمبر/ فولاد کے مرکزی وزیرمملکت وشنو دیو سائی نے آج لوک سبھا میں ایک تحریری جواب میں بتایا کہ ہندوستان کو چاہئے کہ وہ خصوصی فولاد کی مصنوعات کو ملک میں ہی تیار کرنے کی حوصلہ افزائی کرکے اس کی مصنوعات کے سلسلے میں درآمدات پر اپنا انحصار کم کرے۔البتہ فولاد ایک غیرمنضبط سیکٹر ہے اور ٹیکنالوجی کی جدید کاری کے لئے مشترکہ پروجیکٹوں کا قیام قطعی طور پر ایک کاروباری فیصلہ ہے جو کئی پہلو پر منحصر ہے۔فولاد پیداکرنے کا دنیا کا دوسرا سب سے بڑا ملک ہونے کے باوجود ہندوستان اب بھی خصوصی اورقدر والے فولاد کی مصنوعات کی درآمدات پر انحصارکرتا ہے اور گھریلو صلاحیت کو فروغ دیئے جانے کی ضرورت ہے تاکہ خودکفیل بننے کے لئے الیکٹریکل گریڈ اور آٹو گریڈ کے اسٹیل پیدا کی جاسکے۔حکومت اس سمت میں کام کررہی ہے۔


    2017-18 کے دوران فولاد کی پیداوار کی کل صلاحیت

                                     
                     ('000t)  ('000t)
                                     
                                     
                                     
ریاست                صلاحیت   پیداوار
                                     
                                     
                                     
اورناچل پردیش        74       62     
                                     
                                     
                                     
آسام                314      229    
                                     
                                     
                                     
بہار                 1138     703    
                                     
                                     
                                     
جھاڑ کھنڈ            19995    17113  
                                     
                                     
                                     
میگھالیہ             185      74     
                                     
                                     
                                     
اڈیشہ                27239    16968  
                                     
                                     
                                     
تریپورہ              30       20     
                                     
                                     
                                     
مغربی بنگال          10128    7840   
                                     
                                     
                                     
چھتیس گڑھ            16464    13033  
                                     
                                     
                                     
دادر اور ناگر حویلی  291      246    
                                     
                                     
                                     
دمن اور دیو          41       33     
                                     
                                     
                                     
گوا                  509      345    
                                     
                                     
                                     
گجرات                12337    8260   
                                     
                                     
                                     
مدھیہ پردیش          170      144    
                                     
                                     
                                     
مہاراشٹر             10884    8457   
                                     
                                     
                                     
دہلی                 14       12     
                                     
                                     
                                     
ہریانہ               931      806    
                                     
                                     
                                     
ہماچل پردیش          698      458    
                                     
                                     
                                     
جموں وکشمیر          187      130    
                                     
                                     
                                     
پنجاب                3878     2779   
                                     
                                     
                                     
راجستھان             1093     793    
                                     
                                     
                                     
اترپردیش             1245     1001   
                                     
                                     
                                     
اتراکھنڈ             604      438    
                                     
                                     
                                     
آندھرا پردیش        8205     6156   
                                     
                                     
                                     
کرناٹک               14266    12766  
                                     
                                     
                                     
کیرالا               622      336    
                                     
                                     
                                     
پڈوچیری              343      162    
                                     
                                     
                                     
تمل ناڈو             4316     2699   
                                     
                                     
                                     
تلنگانہ              1774     1070   
                                     
                                     
                                     
کل                   137975   103131 
                                     
                                     
                   
Source: JPC        
                   
                   

    **********


    U – 6481

    
    
    (Release ID: 1557537) Visitor Counter : 3
