      Ministry of Women and Child Development

      More than 1700 SPECIAL JUVENILE POLICE UNITS established in the country
      Posted On: 09 FEB 2018 4:29PM by PIB Delhi


    More than 1700 Special Juvenile Police Units(SJPUs) have been established in the country. Each district and city in the country has atleast one SJPU. The Police officers of the Special Juvenile Police Unit are trained by their respective State Governments and State Police Academies. A module for training of Indian Police Services officers has been incorporated by National Police Academy. National level training programmes are also organized by National Institute of Public Cooperation and Child Development (NIPCCD). National Commission for Protection of Child Rights (NCPCR) has taken up an exercise for preparing uniform Training Manuals.


    State/UT- wise list of SJPUs (as reported by States/UTs) is as follows :

                                                    
S. No  State                 No. of SJPU Constituted
                                                    
                                                    
                                                    
1      Andhra Pradesh        13                     
                                                    
                                                    
                                                    
2      Arunachal Pradesh     18                     
                                                    
                                                    
                                                    
3      Assam                 27                     
                                                    
                                                    
                                                    
4      Bihar                 44                     
                                                    
                                                    
                                                    
5      Chattisgarh           27                     
                                                    
                                                    
                                                    
6      Goa                   2                      
                                                    
                                                    
                                                    
7      Gujarat               33                     
                                                    
                                                    
                                                    
8      Haryana               21                     
                                                    
                                                    
                                                    
9      Himachal Pradesh      12                     
                                                    
                                                    
                                                    
10     Jammu & Kashmir       22                     
                                                    
                                                    
                                                    
11     Jharkhand             26                     
                                                    
                                                    
                                                    
12     Karnataka             40                     
                                                    
                                                    
                                                    
13     Kerala                14                     
                                                    
                                                    
                                                    
14     Madhya Pradesh        51                     
                                                    
                                                    
                                                    
15     Maharashtra           1076                   
                                                    
                                                    
                                                    
16     Manipur               9                      
                                                    
                                                    
                                                    
17     Meghalaya             11                     
                                                    
                                                    
                                                    
18     Mizoram               8                      
                                                    
                                                    
                                                    
19     Nagaland              11                     
                                                    
                                                    
                                                    
20     Orissa                34                     
                                                    
                                                    
                                                    
21     Punjab                26                     
                                                    
                                                    
                                                    
22     Rajasthan             41                     
                                                    
                                                    
                                                    
23     Sikkim                4                      
                                                    
                                                    
                                                    
24     Tamil Nadu            43                     
                                                    
                                                    
                                                    
25     Telangana             12                     
                                                    
                                                    
                                                    
26     Tripura               8                      
                                                    
                                                    
                                                    
27     Uttar Pradesh         81                     
                                                    
                                                    
                                                    
28     Uttarakhand           13                     
                                                    
                                                    
                                                    
29     West Bengal           20                     
                                                    
                                                    
                                                    
30     A & N Island          3                      
                                                    
                                                    
                                                    
31     Chandigarh            1                      
                                                    
                                                    
                                                    
32     Dadra & Nagar Haveli  1                      
                                                    
                                                    
                                                    
33     Daman & Diu           2                      
                                                    
                                                    
                                                    
34     Delhi                 13                     
                                                    
                                                    
                                                    
35     Lakshadweep           1                      
                                                    
                                                    
                                                    
36     Puducherry            2                      
                                                    
                                                    

    This information was given by Minister of State for Women and Child Development, Dr. Virendra Kumar in reply to a question in Lok Sabha today.


    ****


    NB/SKK/UD


    

    
    (Release ID: 1520105) Visitor Counter : 121
