      Ministry of Company Affairs

      CSR expenditure on sports in FY 2015-16 stands at Rs 13,476.19
      Posted On: 09 FEB 2018 9:54AM by PIB Delhi


    As per the data culled out from filings made by companies upto 30.11.2017 in the MCA21 registry for the years 2014-15 and 2015-16, the expenditure made on Corporate Social Responsibility (CSR) by such companies captured under the head ‘encouraging sports’ under Schedule VII of the Companies Act, 2013 (the ‘Act’) is Rs. 53.36 crores and Rs. 134.76 crores respectively. The States/UTs-wise CSR expenditure on encouraging sports for the years 2014-15 and 2015-16.


    The contribution made by companies for the development and promotion of sports under Schedule VII of the Act for the financial year 2016-17 (as per filings made upto 30.11.2017) is Rs. 51.73 crores. The annual financial statement of companies for the year 2017-18 are not yet due for filing.


    STATE/UT-WISE CSR EXPENDITURE ON SPORTS DURING FY 2014-15 AND FY 2015-16

                               
CSR Expenditure ( In Rs. lakh )
                               
                               
                                                                                 
SI. No.                          State/ UT                    2014-15   2015-16  
                                                                                 
                                                                                 
                                                                                 
1                                Andaman and Nicobar Islands  0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
2                                Andhra Pradesh               33.36     270.57   
                                                                                 
                                                                                 
                                                                                 
3                                Arunachal Pradesh            0.56      0.43     
                                                                                 
                                                                                 
                                                                                 
4                                Assam                        3.65      4.65     
                                                                                 
                                                                                 
                                                                                 
5                                Bihar                        0.00      26.00    
                                                                                 
                                                                                 
                                                                                 
6                                Chandigarh                   7.83      2.65     
                                                                                 
                                                                                 
                                                                                 
7                                Chhattisgarh                 192.36    23.75    
                                                                                 
                                                                                 
                                                                                 
8                                Dadra Nagar Haveli           0.00      0.30     
                                                                                 
                                                                                 
                                                                                 
9                                Daman Diu                    0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
10                               Delhi                        297.53    382.33   
                                                                                 
                                                                                 
                                                                                 
11                               Goa                          6.00      75.22    
                                                                                 
                                                                                 
                                                                                 
12                               Gujarat                      19.12     269.29   
                                                                                 
                                                                                 
                                                                                 
13                               Haryana                      117.86    279.99   
                                                                                 
                                                                                 
                                                                                 
14                               Himachal Pradesh             24.26     34.98    
                                                                                 
                                                                                 
                                                                                 
15                               Jammu And Kashmir            0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
16                               Jharkhand                    41.72     40.99    
                                                                                 
                                                                                 
                                                                                 
17                               Karnataka                    321.74    1143.95  
                                                                                 
                                                                                 
                                                                                 
18                               Kerala                       34.68     53.76    
                                                                                 
                                                                                 
                                                                                 
19                               Lakshadweep                  0.00      12.20    
                                                                                 
                                                                                 
                                                                                 
20                               Madhya Pradesh               31.87     59.88    
                                                                                 
                                                                                 
                                                                                 
21                               Maharashtra                  275.42    1355.42  
                                                                                 
                                                                                 
                                                                                 
22                               Manipur                      0.00      99.21    
                                                                                 
                                                                                 
                                                                                 
23                               Meghalaya                    0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
24                               Mizoram                      0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
25                               Nagaland                     0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
26                               Odisha                       909.19    818.06   
                                                                                 
                                                                                 
                                                                                 
27                               Pondicherry                  0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
28                               Punjab                       33.50     1.92     
                                                                                 
                                                                                 
                                                                                 
29                               Rajasthan                    104.66    37.89    
                                                                                 
                                                                                 
                                                                                 
30                               Sikkim                       0.00      1.00     
                                                                                 
                                                                                 
                                                                                 
31                               Tamil Nadu                   41.87     982.00   
                                                                                 
                                                                                 
                                                                                 
32                               Telangana                    3.50      62.32    
                                                                                 
                                                                                 
                                                                                 
33                               Tripura                      0.79      1.07     
                                                                                 
                                                                                 
                                                                                 
34                               Uttar Pradesh                50.57     133.61   
                                                                                 
                                                                                 
                                                                                 
35                               Uttarakhand                  0.00      0.00     
                                                                                 
                                                                                 
                                                                                 
36                               West Bengal                  147.67    136.95   
                                                                                 
                                                                                 
                                                                                 
37                               Pan India *                  2636.03   7165.80  
                                                                                 
                                                                                 
                                                                                 
                                 Grand Total ( In Rs. lakh )  5,335.75  13,476.19
                                                                                 
                                                                                 

    This was stated by Shri P.P. Chaudhary, Minister of State for Corporate Affairs in written reply to a question in Lok Sabha today.


    ***


    DSM/RM/KMN

    
    
    (Release ID: 1520207) Visitor Counter : 99
