      خواتین اور بچوں کی ترقیات کی وزارت

      ملک میں 1700 سے زیادہ خصوصی جوینائل پولیس یونٹس کا قیام
      Posted On: 09 FEB 2018 8:15PM by PIB Delhi


    نئی دہلی، 09 فروری / خواتین اور بچوں کی ترقی کے وزیر مملکت ڈاکٹر وریندر کمار نے آج لوک سبھا میں ایک سوال کے جواب میں بتایا کہ ملک میں 1700سے زیادہ خصوصی جوینائل پولیس یونٹس (ایس جے پی یو ایس) قائم کئے گئے ہیں۔ ملک کے ہر ضلع اور شہر میں کم از کم ایک ایس جے پی یو ہے۔ انہوں نے بتایا کہ خصوصی جوینائل پولیس یونٹ کے پولیس افسروں کو ان کے متعلقہ ریاستی حکومتوں اور ریاستی پولیس اکیڈمیوں کے ذریعے تربیت دی جاتی ہے۔ نیشنل پولیس اکیڈمی کی طرف سے انڈین پولیس سرویسیزافسروں کی تربیت کیلئے ایک ماڈیول شامل کیا گیا ہے۔ قومی سطح کے تربیتی پروگراموں کا بھی اہتمام کیا جاتا ہے۔ان پروگراموں کا اہتمام نیشنل انسٹی ٹیوٹ آف پبلک کوآپریشن اینڈ چائلڈ ڈیولپمنٹ کرتی ہے۔ بچوں کے حقوق کے تحفظ کیلئے قومی کمیشن نے یکساں تربیتی مینوئلس کیلئے ایک کتابچہ تیار کرنے کیلئے قدم اٹھایا ہے۔


    خصوصی جوینائل پولیس یونٹوں کی ریاست /مرکز کے زیر انتظام علاقے کے اعتبارسے فہرست(ریاستوں اورمرکزکے زیر انتظام علاقوں کی طرف سے دی گئی اطلاعات کے مطابق)حسب ذیل ہے:

                                                                               
نمبرشمار  ریاست                 تشکیل دی گئی خصوصی جوینائل پولیس یونٹس کی تعداد
                                                                               
                                                                               
                                                                               
1         آندھرپردیش            13                                             
                                                                               
                                                                               
                                                                               
2         اروناچل پردیش         18                                             
                                                                               
                                                                               
                                                                               
3         آسام                  27                                             
                                                                               
                                                                               
                                                                               
4         بہار                  44                                             
                                                                               
                                                                               
                                                                               
5         چھتیس گڑھ             27                                             
                                                                               
                                                                               
                                                                               
6         گوا                   2                                              
                                                                               
                                                                               
                                                                               
7         گجرات                 33                                             
                                                                               
                                                                               
                                                                               
8         ہریانہ                21                                             
                                                                               
                                                                               
                                                                               
9         ہماچل پردیش           12                                             
                                                                               
                                                                               
                                                                               
10        جموں و کشمیر          22                                             
                                                                               
                                                                               
                                                                               
11        جھارکھنڈ              26                                             
                                                                               
                                                                               
                                                                               
12        کرناٹک                40                                             
                                                                               
                                                                               
                                                                               
13        کیرالہ                14                                             
                                                                               
                                                                               
                                                                               
14        مدھیہ پردیش           51                                             
                                                                               
                                                                               
                                                                               
15        مہاراشٹر              1076                                           
                                                                               
                                                                               
                                                                               
16        منی پور               9                                              
                                                                               
                                                                               
                                                                               
17        میگھالیہ              11                                             
                                                                               
                                                                               
                                                                               
18        میزورم                8                                              
                                                                               
                                                                               
                                                                               
19        ناگالینڈ              11                                             
                                                                               
                                                                               
                                                                               
20        اڈیشہ                 34                                             
                                                                               
                                                                               
                                                                               
21        پنجاب                 26                                             
                                                                               
                                                                               
                                                                               
22        راجستھان              41                                             
                                                                               
                                                                               
                                                                               
23        سکم                   4                                              
                                                                               
                                                                               
                                                                               
24        تمل ناڈو              43                                             
                                                                               
                                                                               
                                                                               
25        تلنگانہ               12                                             
                                                                               
                                                                               
                                                                               
26        تریپورہ               8                                              
                                                                               
                                                                               
                                                                               
27        اترپردیش              81                                             
                                                                               
                                                                               
                                                                               
28        اتراکھنڈ              13                                             
                                                                               
                                                                               
                                                                               
29        مغربی بنگال           20                                             
                                                                               
                                                                               
                                                                               
30        انڈومان نکوبار جزیرہ  3                                              
                                                                               
                                                                               
                                                                               
31        چنڈی گڑھ              1                                              
                                                                               
                                                                               
                                                                               
32        دادراورناگرحویلی      1                                              
                                                                               
                                                                               
                                                                               
33        دمن اور دیو           2                                              
                                                                               
                                                                               
                                                                               
34        دلی                   13                                             
                                                                               
                                                                               
                                                                               
35        لکش دیپ               1                                              
                                                                               
                                                                               
                                                                               
36        پڈوچیری               2                                              
                                                                               
                                                                               

    ۔


    U. No. 816


    
    
    

    
    (Release ID: 1520198) Visitor Counter : 1
