      Ministry of Earth Science

      Seismological Observatories
      Posted On: 03 JAN 2018 6:12PM by PIB Delhi


    National Centre of Seismology (NCS) maintains a National Seismological Network (NSN) of 84 seismological observatories. State-wise list of the Observatories is as below:


    LIST OF SEISMOLOGICAL OBSERVATORIES OPERATED BY NATIONAL CENTRE OF SEISMOLOGY ( NCS)

                                                   
S.No.  Name of Station       State to which belongs
                                                   
                                                   
                                                   
1      Allahabad             Uttar Pradesh         
                                                   
                                                   
                                                   
2      Asaura                Uttar Pradesh         
                                                   
                                                   
                                                   
3      Bisrakh               Uttar Pradesh         
                                                   
                                                   
                                                   
4      Bahraich              Uttar Pradesh         
                                                   
                                                   
                                                   
5      Bahraich              Uttar Pradesh         
                                                   
                                                   
                                                   
6      Jhansi                Uttar Pradesh         
                                                   
                                                   
                                                   
7      Meerut                Uttar Pradesh         
                                                   
                                                   
                                                   
8      Varanasi              Uttar Pradesh         
                                                   
                                                   
                                                   
9      Agra                  Uttar Pradesh         
                                                   
                                                   
                                                   
10     Thakurdwara           Uttar Pradesh         
                                                   
                                                   
                                                   
11     Unchagaon             Uttar Pradesh         
                                                   
                                                   
                                                   
12     Lohaghat              Uttarakhand           
                                                   
                                                   
                                                   
13     Pithoragarh           Uttarakhand           
                                                   
                                                   
                                                   
14     Dehradun              Uttarakhand           
                                                   
                                                   
                                                   
15     Joshimath             Uttarakhand           
                                                   
                                                   
                                                   
16     Akola                 Maharashtra           
                                                   
                                                   
                                                   
17     karad                 Maharashtra           
                                                   
                                                   
                                                   
18     latur                 Maharashtra           
                                                   
                                                   
                                                   
19     Mumbai                Maharashtra           
                                                   
                                                   
                                                   
20     Pune                  Maharashtra           
                                                   
                                                   
                                                   
21     Nagpur                Maharashtra           
                                                   
                                                   
                                                   
22     Ajmer                 Rajasthan             
                                                   
                                                   
                                                   
23     Jaisalmer             Rajasthan             
                                                   
                                                   
                                                   
24     Khetri                Rajasthan             
                                                   
                                                   
                                                   
25     Bhavnagar             Gujarat               
                                                   
                                                   
                                                   
26     Bhuj                  Gujarat               
                                                   
                                                   
                                                   
27     Ayanagar              Delhi                 
                                                   
                                                   
                                                   
28     Lodi Road, New Delhi  Delhi                 
                                                   
                                                   
                                                   
29     Ridge, Delhi          Delhi                 
                                                   
                                                   
                                                   
30     Bhubaneswar           Odisha                
                                                   
                                                   
                                                   
31     Rayagada              Odisha                
                                                   
                                                   
                                                   
32     Jharsuguda            Odisha                
                                                   
                                                   
                                                   
33     Bhakra                Himachal Pradesh      
                                                   
                                                   
                                                   
34     Kalpa                 Himachal Pradesh      
                                                   
                                                   
                                                   
35     Shimla                Himachal Pradesh      
                                                   
                                                   
                                                   
36     Dharamsala            Himachal Pradesh      
                                                   
                                                   
                                                   
37     Bilaspur              Chhattisgarh          
                                                   
                                                   
                                                   
38     Rohtak                Haryana               
                                                   
                                                   
                                                   
39     Sohna                 Haryana               
                                                   
                                                   
                                                   
40     Kundal                Haryana               
                                                   
                                                   
                                                   
41     Kurukshetra           Haryana               
                                                   
                                                   
                                                   
42     Bahadurgarh           Haryana               
                                                   
                                                   
                                                   
43     Kodaikanal            Tamil Nadu            
                                                   
                                                   
                                                   
