      खाद्य प्रसंस्करण उद्योग मंत्रालय

      2010-11 से 2016-17 के दौरान खाद्य प्रसंस्करण क्षेत्र में 6492.19 मिलियन डॉलर का इक्विटी प्रवाह रहा
      Posted On: 02 JAN 2018 7:34PM by PIB Delhi


    वाणिज्य एवं उद्योग मंत्रालय के औद्योगिक नीति एवं संवर्द्धन विभाग (डीआईपीपी) के अनुसार 2010-11 से 2016-17 के दौरान खाद्य प्रसंस्करण क्षेत्र में 6492.19 मिलियन डॉलर का इक्विटी प्रवाह रहा है। खाद्य प्रसंस्करण उद्योगों में स्वचलित माध्यम (ऑटोमैटिक रूट) के जरिए 100 प्रतिशत विदेशी प्रत्यक्ष निवेश की अनुमति है , बशर्ते लागू कानूनों/नियमों/सुरक्षा स्थितियों का उल्लंघन न होता हो। केंद्रीय सांख्यिकी कार्यालय द्वारा किए गए उद्योगों के वार्षिक सर्वेक्षण के अनुसार 2014-15 के दौरान पंजीकृत खाद्य प्रसंस्करण इकाइयों द्वारा 368,43,371 लाख रूपये का पूंजी निवेश किया गया है। सर्वेक्षण के अनुसार खाद्य प्रसंस्करण उद्योगों में 2014-15 तक राज्यवार पूंजीवार निवेश अनुलग्नक में दिखाया गया है।


    सांख्यिकी और कार्यक्रम कार्यान्वयन मंत्रालय के केंद्रीय सांख्यिकी कार्यालय द्वारा उद्योगों पर किए गए सर्वेक्षण के अनुसार खाद्य प्रसंस्करण उद्योगों की संख्या 2010-11 के 35 ,838 से बढ़कर 2014-15 में 38,603 हो गई है।


    2014-15 तक पंजीकृत खाद्य प्रसंस्करण ईकाइयों में राज्यवार पूंजी निवेश

                                                               
क्र.सं.  राज्य                    पूंजी निवेश ( लाख रूपये में )
                                                               
                                                               
                                                               
1        अंडमान और निकोबार द्वीप  733                          
                                                               
                                                               
                                                               
2        आंध्र प्रदेश             2303736                      
                                                               
                                                               
                                                               
3        अरूणाचल प्रदेश           6822                         
                                                               
                                                               
                                                               
4        असम                      802132                       
                                                               
                                                               
                                                               
5        बिहार                    688407                       
                                                               
                                                               
                                                               
6        चंडीगढ                   7251                         
                                                               
                                                               
                                                               
7        छत्तीसगढ                 355497                       
                                                               
                                                               
                                                               
8        दादर एंड नागर हवेली      2337                         
                                                               
                                                               
                                                               
9        दमन एंड दीव              33297                        
                                                               
                                                               
                                                               
10       दिल्ली                   651151                       
                                                               
                                                               
                                                               
11       गोवा                     152223                       
                                                               
                                                               
                                                               
12       गुजरात                   2568716                      
                                                               
                                                               
                                                               
13       हरियाणा                  2054238                      
                                                               
                                                               
                                                               
14       हिमाचल प्रदेश            296996                       
                                                               
                                                               
                                                               
15       जम्मू व कश्मीर           112583                       
                                                               
                                                               
                                                               
16       झारखंड                   124541                       
                                                               
                                                               
                                                               
17       कर्नाटक                  3227013                      
                                                               
                                                               
                                                               
18       केरल                     703629                       
                                                               
                                                               
                                                               
19       मध्य प्रदेश              1218209                      
                                                               
                                                               
                                                               
20       महाराष्ट्र               6749766                      
                                                               
                                                               
                                                               
21       मणिपुर                   5537                         
                                                               
                                                               
                                                               
22       मेघालय                   44828                        
                                                               
                                                               
                                                               
23       नगालैंड                  1938                         
                                                               
                                                               
                                                               
24       ओडिशा                    333689                       
                                                               
                                                               
                                                               
25       पुदुचेरी                 70505                        
                                                               
                                                               
                                                               
26       पंजाब                    2298109                      
                                                               
                                                               
                                                               
27       राजस्थान                 953902                       
                                                               
                                                               
                                                               
28       सिक्किम                  18285                        
                                                               
                                                               
                                                               
29       तमिलनाडू                 2809159                      
                                                               
                                                               
                                                               
30       तेलंगाना                 1008565                      
                                                               
                                                               
                                                               
31       त्रिपुरा                 20030                        
                                                               
                                                               
                                                               
32       उत्तर प्रदेश             5119369                      
                                                               
                                                               
                                                               
33       उत्तराखंड                506498                       
                                                               
                                                               
                                                               
34       पश्चिम बंगाल             1593680                      
                                                               
                                                               
                                
कुल      368,43,371             
                                
                                

    स्रोत: उद्योगों का वार्षिक सर्वेक्षण , केंद्रीय सांख्यिकी कार्यालय, सांख्यिकी और कार्यक्रम कार्यान्वयन मंत्रालय


    यह जानकारी खाद्य प्रसंस्करण उद्योग मंत्री सुश्री साध्वी निरंजन ज्योति ने आज लोकसभा में दी।


    वीके/एएम/जेके/एसकेपी- 6175


    

    
    (Release ID: 1515120) Visitor Counter : 248
