      خوراک کی ڈبہ بندی کی صنعتوں کی وزارت

      11-2010 ء سے 17-2016 ء کے دوران خوراک کو ڈبہ بند کرنے کے شعبے میں 6492.19 ملین امریکی ڈالر کی ایف ڈی آئی حصص کی آمد
      Posted On: 02 JAN 2018 8:06PM by PIB Delhi


    نئی دہلی، 02 جنوری / خوراک کو ڈبہ بند کرنے کی صنعتوں کی مرکزی وزیر محترمہ سادھوی نرنجن جیوتی نے آج لوک سبھا میں بتایا کہ کامرس اور صنعت کی وزارت کی صنعتی پالیسی اور فروغ ( ڈی آئی پی پی ) کے محکمے کے مطابق 11-2010 ء سے 17-2016 ء کے دوران خوراک کو ڈبہ بند کرنے کے شعبے میں 6492.19 ملین امریکی ڈالر کی ایف ڈی آئی حصص کی آمد ہوئی ۔ خوراک کو ڈبہ بند کرنے کی صنعتوں نے 100 فی صد براہ راست غیر ملکی سرمایہ کاری قابل اطلاق قوانین / سیکٹولر ضابطوں / ریگولیشن / سکیورٹی شرطوں کے مطابق از خود روٹ کے ذریعے اجازت دی گئی ہے ۔ 15-2014 ء میں اعداد و شمار اور پروگرام کے نفاذ کی وزارت کے مرکزی اعداد و شمار کے دفتر کی طرف سے کئے گئے صنعتوں کے تازہ سالانہ سروے کے مطابق درج شدہ خوراک کو ڈبہ بند کرنے کی اکائیوں کے ذریعے کل سرمایہ کاری 36843371 لاکھ روپئے رہی ۔ 15-2014 ء میں خوراک کو ڈبہ بند کرنے کی صنعتوں میں ریاست کے اعتبار سے کی گئی سرمایہ کاری درج ذیل ضمیمہ دی گئی ہے ۔


    سینٹرل اسٹیسٹک آفس کے ذریعے کئے گئے صنعتوں کے سالانہ سروے کے تحت سروے کے مطابق اندراج شدہ فوڈ پروسیسنگ یونٹوں کی تعداد میں اضافہ درج کیا گیا ۔ 11-2010 ء میں یہ تعداد 35838 تھی ، جو 15-2014 ء میں بڑھ کر 38603 ہو گئی ۔


    15-2014 ء میں درج شدہ خوراک کو ڈبہ بند کرنے کی اکائیوں میں کی گئی ریاستی اعتبار سے سرمایہ کاری :

                                                                      
نمبر شمار  ریاست                   لگایا گیا سرمایہ ( لاکھ روپئے میں )
                                                                      
                                                                      
                                                                      
1          انڈ مان و نکوبار جزائر  733                                
                                                                      
                                                                      
                                                                      
2          آندھرا پردیش            2303736                            
                                                                      
                                                                      
                                                                      
3          اروناچل پردیش           6822                               
                                                                      
                                                                      
                                                                      
4          آسام                    802132                             
                                                                      
                                                                      
                                                                      
5          بہار                    688407                             
                                                                      
                                                                      
                                                                      
6          چنڈی گڑھ                7251                               
                                                                      
                                                                      
                                                                      
7          چھتیس گڑھ               355497                             
                                                                      
                                                                      
                                                                      
8          دادر اور نگر حویلی      2337                               
                                                                      
                                                                      
                                                                      
9          دمن اور دیو             33297                              
                                                                      
                                                                      
                                                                      
10         قومی راجدھانی خطہ دہلی  651151                             
                                                                      
                                                                      
                                                                      
11         گوا                     152223                             
                                                                      
                                                                      
                                                                      
12         گجرات                   2568716                            
                                                                      
                                                                      
                                                                      
13         ہریانہ                  2054238                            
                                                                      
                                                                      
                                                                      
14         ہماچل پردیش             296996                             
                                                                      
                                                                      
                                                                      
15         جموں و کشمیر            112583                             
                                                                      
                                                                      
                                                                      
16         جھار کھنڈ               124541                             
                                                                      
                                                                      
                                                                      
17         کرناٹک                  3227013                            
                                                                      
                                                                      
                                                                      
18         کیرلا                   703629                             
                                                                      
                                                                      
                                                                      
19         مدھیہ پردیش             1218209                            
                                                                      
                                                                      
                                                                      
20         مہاراشٹر                6749766                            
                                                                      
                                                                      
                                                                      
21         منی پور                 5537                               
                                                                      
                                                                      
                                                                      
22         میگھالیہ                44828                              
                                                                      
                                                                      
                                                                      
23         ناگا لینڈ               1938                               
                                                                      
                                                                      
                                                                      
24         اڈیشہ                   333689                             
                                                                      
                                                                      
                                                                      
25         پانڈیچری                70505                              
                                                                      
                                                                      
                                                                      
26         پنجاب                   2298109                            
                                                                      
                                                                      
                                                                      
27         راجستھان                953902                             
                                                                      
                                                                      
                                                                      
28         سکم                     18285                              
                                                                      
                                                                      
                                                                      
29         تمل ناڈو                2809159                            
                                                                      
                                                                      
                                                                      
30         تیلنگانہ                1008565                            
                                                                      
                                                                      
                                                                      
31         تری پورہ                20030                              
                                                                      
                                                                      
                                                                      
32         اتر پردیش               5119369                            
                                                                      
                                                                      
                                                                      
33         اترا کھنڈ               506498                             
                                                                      
                                                                      
                                                                      
34         مغربی بنگال             1593680                            
                                                                      
                                                                      
                                 
میزان      368,43,371            
                                 
                                 

    ( م ن ۔ ح ا ۔ ع ا ۔ )


    U. No. 34


    

    
    (Release ID: 1515125) Visitor Counter : 9
