      وزارت دفاع

      دفاعی املاک کے لئے ڈجیٹل ڈاٹا
      Posted On: 30 JUL 2018 8:11PM by PIB Delhi


    نئی دہلی، 30 جولائی / ‘ رکشا بھومی ’ پروجیکٹ کے تحت دفاعی اراضی کے ریکارڈوں کے کمپیوٹرائزیشن کا کام دفاعی املاک کے ڈائریکٹوریٹ جنرل کے ذریعہ نیشنل انفارمیٹکس سنٹر کے اشتراک و تعاون سے انجام دیا گیا تاکہ اراضی کے ریکارڈز کو ڈجیٹل طور پر محفوظ کیا جا سکے ۔ دفاعی اراضی کے ریکارڈز کو عام اراضی رجسٹروں ( جی ایل آر ) میں شامل کیا گیا ہے ۔ اسی طرح ملٹری اراضی رجسٹروں ( ایم ایل آر ) کو رکشا بھومی سافٹ ویئر میں شامل کیا گیا ۔ بعد ازاں ، اس کو جولائی ، 2011 ء میں ڈاٹا بیس کی توثیق و تصدیق کے بعد آپریشنل بنا دیا گیا ۔


    رکشا بھومی ڈاٹا بیس میں دفاعی اراضی پر غیر قانونی قبضے سے متعلق اعداد و شمار کو یکجا کرنے کا عمل جاری ہے ۔ ریاست / مرکز کے زیر انتظام علاقے کے لحاظ سے دفاع کی کُل اراضی پر غیر قانونی قبضے کی تفصیلات درج ذیل ہیں :


    ریاستوں / مرکز کے زیر انتظام علاقوں کے لحاظ سے دفاعی املاک پر غیر قانونی قبضے کی تفصیلات

                                       
  ریاست               رقبہ ( ایکڑ میں )
                                       
                                       
                                       
  آندھرا پردیش        21.97            
                                       
                                       
                                       
  انڈمان و نکوبار     25.62            
                                       
                                       
                                       
  آسام                464.756          
                                       
                                       
                                       
  اروناچل پردیش       87.814           
                                       
                                       
                                       
  بہار                478.974          
                                       
                                       
                                       
  چنڈی گڑھ            0                
                                       
                                       
                                       
  چھتیس گڑھ           165.768          
                                       
                                       
                                       
  دادر اور نگر حویلی  0                
                                       
                                       
                                       
  دمن اور دیو         0                
                                       
                                       
                                       
  دلّی                111.301          
                                       
                                       
                                       
  گوا                 4.3              
                                       
                                       
                                       
  گجرات               164.4572         
                                       
                                       
                                       
  ہریانہ              737.446          
                                       
                                       
                                       
  ہماچل پردیش         60.1571          
                                       
                                       
                                       
  جموں و کشمیر        363.6848         
                                       
                                       
                                       
  جھار کھنڈ           304.932          
                                       
                                       
                                       
  کرناٹک              139.4023         
                                       
                                       
                                       
  کیرلا               2.6839           
                                       
                                       
                                       
  لکشدیپ              0                
                                       
                                       
                                       
  مہاراشٹر            914.713913       
                                       
                                       
                                       
  مدھیہ پردیش         1647.4117        
                                       
                                       
                                       
  منی پور             6.123            
                                       
                                       
                                       
  میگھالیہ            10.6588          
                                       
                                       
                                       
  میزورم              0                
                                       
                                       
                                       
  ناگا لینڈ           357.53           
                                       
                                       
                                       
  اڈیشہ               0.27             
                                       
                                       
                                       
  پانڈیچری            0                
                                       
                                       
                                       
  پنجاب               240.8314         
                                       
                                       
                                       
  راجستھان            484.2085         
                                       
                                       
                                       
  سکم                 0.299            
                                       
                                       
                                       
  تیلنگانہ            150.0518         
                                       
                                       
                                       
  تمل ناڈو            147.1667         
                                       
                                       
                                       
  تری پورہ            1                
                                       
                                       
                                       
  اتر پردیش           2276.8759        
                                       
                                       
                                       
  اترا کھنڈ           55.1443          
                                       
                                       
                                       
  مغربی بنگال         554.5672         
                                       
                                       
                                       
  میزان               9980.118513      
                                       
                                       

    نوٹ : دفاع کی بعض اراضی پر غیر قانونی قبضے کی تصدیق دفاعی اور ریاستی ریونیو حکام کے ذریعے مشترکہ سروے کے بعد کی جائےگی ۔


    دفاعی املاک پر غیر قانونی قبضے کی روک تھام اور اُس کو ختم کرنے کے لئے مسلسل کوششیں کی جا رہی ہیں ۔ دفاعی اراضی پر سے ناجائز قبضے کو ہٹانے کے لئے کارروائی عوامی مقامات ( غیر قانونی قبضے کو خالی کرانا ) ایکٹ ، 1971 اور کنٹونمنٹ ایکٹ ، 2006 کی دفعات کے تحت کی جاتی ہے ۔ اس مسئلے کو حل کرنے کے لئے ریاستی اور میونسپل حکام سے بھی رجوع کیا جاتا ہے ۔


    یہ اطلاع دفاع کے وزیر مملکت ڈاکٹر سبھاش بھامرے نے آج راجیہ سبھا میں رکنِ پارلیمنٹ محترمہ امبیکا سونی اور ڈاکٹر ٹی سباّ رامی ریڈی کے ذریعے پوچھے گئے ایک سوال کے تحریری جواب میں دی ۔


    ( م ن ۔ م ع ۔ ع ا ) ( 30 – 07 – 2018 )


    U. No. 3903


    

    
    (Release ID: 1540762) Visitor Counter : 5
