      Ministry of Railways

      Training provisions to Apprentices in Railways
      Posted On: 16 MAR 2018 4:57PM by PIB Delhi


    Ministry of Railways is providing training to Apprentices in various disciplines/trades under Apprentices Act, 1961. The number of persons provided training in various disciplines/trades during last two years is given below:-

                                                
Persons trained trade-wise in the last two years
                                                
                                                
                                                                    
NAME OF TRADES / DISCIPLINES                      2015-2016  2016-17
                                                                    
                                                                    
                                                                    
Mechanic/Diesel                                   439        773    
                                                                    
                                                                    
                                                                    
Electrical/Electronic                             0          14     
                                                                    
                                                                    
                                                                    
Electrical/Diesel                                 6          33     
                                                                    
                                                                    
                                                                    
Mechanic Electronic                               46         52     
                                                                    
                                                                    
                                                                    
Electrician                                       786        1172   
                                                                    
                                                                    
                                                                    
Fitter                                            2100       2509   
                                                                    
                                                                    
                                                                    
Carpenter                                         273        226    
                                                                    
                                                                    
                                                                    
Mechanic Motor Vehicle                            38         32     
                                                                    
                                                                    
                                                                    
AC Mechanic                                       0          24     
                                                                    
                                                                    
                                                                    
Mechanic                                          0          6      
                                                                    
                                                                    
                                                                    
Welder (Gas & Electric)                           896        733    
                                                                    
                                                                    
                                                                    
Painter General                                   244        140    
                                                                    
                                                                    
                                                                    
Paint and Trimming                                0          6      
                                                                    
                                                                    
                                                                    
Machinist                                         281        223    
                                                                    
                                                                    
                                                                    
Turner                                            86         67     
                                                                    
                                                                    
                                                                    
Crane Operator                                    0          1      
                                                                    
                                                                    
                                                                    
Mechanic Machine Tool Maintenance (MMTM)          40         21     
                                                                    
                                                                    
                                                                    
Refrigeration & Air Conditioner                   31         26     
                                                                    
                                                                    
                                                                    
Wireman                                           2          28     
                                                                    
                                                                    
                                                                    
Computer Operator and Programming Asstt.          79         57     
                                                                    
                                                                    
                                                                    
Offset Machine Minder                             0          1      
                                                                    
                                                                    
                                                                    
RFM                                               67         77     
                                                                    
                                                                    
                                                                    
Armeture Winder                                   0          1      
                                                                    
                                                                    
                                                                    
MMW                                               0          1      
                                                                    
                                                                    
                                                                    
Inst. Mech.                                       16         11     
                                                                    
                                                                    
                                                                    
Draftsman (Mech.)                                 2          0      
                                                                    
                                                                    
                                                                    
Electric Power                                    0          12     
                                                                    
                                                                    
                                                                    
Draftsman (Civil)                                 0          1      
                                                                    
                                                                    
                                                                    
Strenographer                                     0          2      
                                                                    
                                                                    
                                                                    
Plumber                                           9          16     
                                                                    
                                                                    
                                                                    
SMW                                               17         17     
                                                                    
                                                                    
                                                                    
Wireman                                           9          3      
                                                                    
                                                                    
                                                                    
Lineman                                           1          1      
                                                                    
                                                                    
                                                                    
CNC                                               0          5      
                                                                    
                                                                    
                                                                    
M L Pathology                                     0          1      
                                                                    
                                                                    
                                                                    
M L Radiology                                     0          2      
                                                                    
                                                                    
                                                                    
Handset Repair Engineer Level-II                  0          20     
                                                                    
                                                                    
                                                                    
Programming and Systems Administration Asstt.     40         54     
                                                                    
                                                                    
                                                                    
TOTAL                                             5508       6368   
                                                                    
                                                                    

    Stipend is paid to such Act Apprentice trainees a s per sub-rule (1) of rule 11 of ‘Apprenticeship Rules, 1992, which states:-


      (i) During the first year of training: Seventy percent of minimum wage of semi-skilled workers notified by the respective State or Union territory.


      (ii) During the second year of training: Eighty percent of minimum wage of semi-skilled workers notified by the respective State or Union territory.


      (iii) During the third and fourth year of training: Ninety percent of minimum wage of semi-skilled workers notified by the respective State or Union territory.


    Provided that in the case where the minimum rate of wage for trade is not notified by the State Government or Union territory, then, the maximum wages of the Scheduled Employment notified by such State Government or Union territory for semi-skilled workers shall be taken into account for paying the stipend in respect of that trade.


    Number of Act Apprentices trainees who have been provided jobs in the Railways itself during last three years are 656.


    This information was given by the Minister of State of Railways Shri Rajen Gohain in a written reply to a question in Rajya Sabha today.


    ****


    SBS/MKV/DK


    

    
    (Release ID: 1524849) Visitor Counter : 147
