      Ministry of Women and Child Development

      48.11 lakh women enrolled under PMMVY till Sept 13, 2018
      
      37.30 lakh women paid maternity benefit of Rs 1168.63 cr

      Posted On: 14 SEP 2018 8:51PM by PIB Delhi

    Pradhan Mantri Matru Vandana Yojana (PMMVY) recently marked the anniversary of the launch of scheme as Matru Vandana Saptah. During this week, the States/UTs focused on IEC activities, pendencies under various parameters and escalating daily entry rate of applications. The success of the week was concluded in Dehradun at National Level. National level achievement of the scheme post an year’s implementation on grounds is 48.11 Lakhs of women enrollment under the scheme till September 13, 2018, out of which 37.30 Lakhs have been paid the maternity benefit which accounts to a total fund disbursement of Rs 1168.63 Crores. Status of top performing States is as follows:

                                                                                                            
State/UT                     Beneficiaries Enrolled  Beneficiaries Paid  Total Amount Disbursed in Rs. Crore
                                                                                                            
                                                                                                            
                                                                                                            
MADHYA PRADESH               6,90,358                5,82,437            167.79                             
                                                                                                            
                                                                                                            
                                                                                                            
ANDHRA PRADESH               4,02,951                3,26,283            107.62                             
                                                                                                            
                                                                                                            
                                                                                                            
HIMACHAL PRADESH             66,651                  51,281              17.47                              
                                                                                                            
                                                                                                            
                                                                                                            
CHANDIGARH                   7,406                   6,742               2.27                               
                                                                                                            
                                                                                                            
                                                                                                            
HARYANA                      1,77,658                1,60,563            60.24                              
                                                                                                            
                                                                                                            
                                                                                                            
ANDAMAN AND NICOBAR ISLANDS  2,393                   2,232               0.84                               
                                                                                                            
                                                                                                            
                                                                                                            
RAJASTHAN                    4,91,702                3,99,324            121.10                             
                                                                                                            
                                                                                                            
                                                                                                            
DADRA AND NAGAR HAVELI       2,523                   1,849               0.46                               
                                                                                                            
                                                                                                            
                                                                                                            
MIZORAM                      6,468                   5,723               2.0 6                              
                                                                                                            
                                                                                                            
                                                                                                            
DAMAN AND DIU                1,537                   1,079               0.29                               
                                                                                                            
                                                                                                            
                                                                                                            
CHHATTISGARH                 1,46,960                1,12,311            26.92                              
                                                                                                            
                                                                                                            
                                                                                                            
KERALA                       1,60,132                1,40,851            46.59                              
                                                                                                            
                                                                                                            
                                                                                                            
KARNATAKA                    3,14,766                2,45,652            83.55                              
                                                                                                            
                                                                                                            
                                                                                                            
GOA                          6,180                   5,741               2.23                               
                                                                                                            
                                                                                                            
                                                                                                            
PUNJAB                       1,19,419                1,04,695            35.09                              
                                                                                                            
                                                                                                            
                                                                                                            
JHARKHAND                    1,64,224                1,21,744            33.87                              
                                                                                                            
                                                                                                            
                                                                                                            
LAKSHADWEEP                  430                     229                 0.04                               
                                                                                                            
                                                                                                            
                                                                                                            
GUJARAT                      2,42,405                2,04,468            70.8 9                             
                                                                                                            
                                                                                                            
                                                                                                            
DELHI                        56,611                  49,776              17.22                              
                                                                                                            
                                                                                                            
                                                                                                            
UTTAR PRADESH                8,28,032                5,80,254            188.80                             
                                                                                                            
                                                                                                            

    *****


    NB/SK/SBP

    
    
    (Release ID: 1546213) Visitor Counter : 1334
