      Ministry of Home Affairs

      Union Home Minister’s Medal for Excellence in Investigation for the year 2019 declared
      Posted On: 14 AUG 2019 5:00PM by PIB Delhi


    The Union Home Minister’s Medal for Excellence in Investigation for the year 2019 have been awarded to 96 Police personnel (List attached). This medal, constituted in 2018, with the objective to promote high professional standards of investigation of crime and to recognize such Excellence in Investigation by investigating officers.


    Among the personnel receiving these awards, 15 are from CBI, 11 are from Maharashtra Police, 10 are from Uttar Pradesh Police, 9 are from Kerala Police, 8 are from Madhya Pradesh Police, 6 are from Delhi Police and Karnataka Police and the remaining from the other States/UT and Central Investigating Agencies. These include thirteen (13) women police officers.


    LIST OF AWARDEES OF UNION HOME MINISTER’S MEDAL FOR EXCELLENCE IN INVESTIGATION FOR THE YEAR 2019.

                                                          
S/  Name (S/Shri)                           State/Org.    
                                                          
                                                          
No                                                        
                                                          
                                                          
                                                          
1   J Shivanarayana Swamy, Inspr            Andhra Pradesh
                                                          
                                                          
                                                          
2   S Swamy Das, ASI                        -do-          
                                                          
                                                          
                                                          
3   Shankar Brata Raimedhi, SP              Assam Police  
                                                          
                                                          
                                                          
4   Nayan Moni Barman, DySP                 -do-          
                                                          
                                                          
                                                          
5   Md. Emdadul Hussain, SI(UB)             -do-          
                                                          
                                                          
                                                          
6   Deepak Singh Chouhan,ASI                Chhattisgarh  
                                                          
                                                          
                                                          
7   Syed Afaq Ahmad, Inspr                  J & K         
                                                          
                                                          
                                                          
8   Parmeshwar Prasad, Inspr                Jharkhand     
                                                          
                                                          
                                                          
9   M N Anucheth, SP                        Karnataka     
                                                          
                                                          
                                                          
10  Rangappa T, DySP                        -do-          
                                                          
                                                          
                                                          
11  G C Raja, Inspr.                        -do-          
                                                          
                                                          
                                                          
12  B S Satish, CPI                         -do-          
                                                          
                                                          
                                                          
13  Smt. Jahnavi S, SP                      -do-          
                                                          
                                                          
                                                          
14  K Ravishankar, DySP                     -do-          
                                                          
                                                          
                                                          
15  K G Simon, Commandant                   Kerala        
                                                          
                                                          
                                                          
16  M L Sunil, SP                           -do-          
                                                          
                                                          
                                                          
17  K V Venugopalan, DySP                   -do-          
                                                          
                                                          
                                                          
18  Anil Kumar V, SI                        -do-          
                                                          
                                                          
                                                          
19  Shamsudeen S, Asstt.CP                  -do-          
                                                          
                                                          
                                                          
20  S Sasidharan, SP                        -do-          
                                                          
                                                          
                                                          
21  Jaleel Thottathil, DySP                 -do-          
                                                          
                                                          
                                                          
22  Baiju Poulose M.,Inspr                  -do-          
                                                          
                                                          
                                                          
23  M P Mohamed Rafee, SI                   -do-          
                                                          
                                                          
                                                          
24  Amit Suresh Tolani, SP                  Madhya Pradesh
                                                          
                                                          
                                                          
25  Indresh Kumar Tripathi, Inspr           -do-          
                                                          
                                                          
                                                          
26  Shiv Kumar Yadav, Inspr                 -do-          
                                                          
                                                          
                                                          
27  Prakash Waskle, Inspr                   -do-          
                                                          
                                                          
                                                          
28  Rakesh Tiwari, Inspr                    -do-          
                                                          
                                                          
                                                          
29  Kuwar Singh Mukati, Inspr               -do-          
                                                          
                                                          
                                                          
30  Kamlendra Singh Karchuli, Inspr.        -do-          
                                                          
                                                          
                                                          
