      Ministry of Petroleum & Natural Gas

      Nearly 1.04 crore LPG consumers voluntarily surrender their LPG subsidy under ‘GiveItUp’ campaign.
      Posted On: 11 FEB 2019 4:45PM by PIB Delhi


    As on 06.02.2019, nearly 1.04 crore LPG consumers have voluntarily surrendered their LPG subsidy under ‘GiveItUp’ campaign. State/UT-wise details LPG connections released under Pradhan Mantri Ujjala Yojna are at Annexure.


    Domestic LPG prices are revised every month in line with international price of LPG with corresponding revision in monthly LPG subsidy under PAHAL scheme. Entire subsidy burden is borne by the Government. In the current month (Feb, 2019), the price of domestic non-subsidized LPG cylinder (14.2 kg) in Delhi market is Rs. 659. The effective cost to the consumer is Rs. 493.53. The per cylinder subsidy borne by government for the current month is Rs. 165.47. The year-/month-wise details of the LPG prices may be seen at PPAC website:www.ppac.gov.in


    All India average LPG refill consumption for PMUY beneficiaries during FY 2017-18 is 3.4. All India LPG average consumption during FY 2017-18 is 6.77.


    This information was given by Minister of Petroleum & Natural Gas, Shri Dharmendra Pradhan in a written reply to the Lok Sabha today.


    ******


    YKB/SK

                                                            
                             Annexure                       
                                                            
                                                            
                           
                                                            
State/UT                     Connections released under PMUY
                                                            
                                                            
                                                            
Andaman and Nicobar Islands  7,771                          
                                                            
                                                            
                                                            
Andhra Pradesh               2,28,748                       
                                                            
                                                            
                                                            
Arunachal Pradesh            37,780                         
                                                            
                                                            
                                                            
Assam                        25,03,843                      
                                                            
                                                            
                                                            
Bihar                        73,82,156                      
                                                            
                                                            
                                                            
Chandigarh                   76                             
                                                            
                                                            
                                                            
Chhattisgarh                 26,78,156                      
                                                            
                                                            
                                                            
Dadra and Nagar Haveli       13,410                         
                                                            
                                                            
                                                            
Daman and Diu                415                            
                                                            
                                                            
                                                            
Delhi                        67,250                         
                                                            
                                                            
                                                            
Goa                          1,060                          
                                                            
                                                            
                                                            
Gujarat                      21,36,441                      
                                                            
                                                            
                                                            
Haryana                      6,41,134                       
                                                            
                                                            
                                                            
Himachal Pradesh             98,705                         
                                                            
                                                            
                                                            
Jammu and Kashmir            9,31,144                       
                                                            
                                                            
                                                            
Jharkhand                    26,89,286                      
                                                            
                                                            
                                                            
Karnataka                    21,81,193                      
                                                            
                                                            
                                                            
Kerala                       1,69,353                       
                                                            
                                                            
                                                            
Lakshadweep                  287                            
                                                            
                                                            
                                                            
Madhya Pradesh               57,62,210                      
                                                            
                                                            
                                                            
Maharashtra                  37,36,880                      
                                                            
                                                            
                                                            
Manipur                      1,13,349                       
                                                            
                                                            
                                                            
Meghalaya                    1,35,256                       
                                                            
                                                            
                                                            
Mizoram                      25,222                         
                                                            
                                                            
                                                            
Nagaland                     47,205                         
                                                            
                                                            
                                                            
Odisha                       37,64,318                      
                                                            
                                                            
                                                            
Puducherry                   13,074                         
                                                            
                                                            
                                                            
Punjab                       11,71,270                      
                                                            
                                                            
                                                            
Rajasthan                    49,27,091                      
                                                            
                                                            
                                                            
Sikkim                       6,422                          
                                                            
                                                            
                                                            
Tamil Nadu                   29,44,543                      
                                                            
                                                            
                                                            
Telangana                    6,44,215                       
                                                            
                                                            
                                                            
Tripura                      2,10,109                       
                                                            
                                                            
                                                            
Uttar Pradesh                113,58,459                     
                                                            
                                                            
                                                            
Uttarakhand                  3,02,231                       
                                                            
                                                            
                                                            
West Bengal                  72,76,421                      
                                                            
                                                            
                                                            
Total                        642,06,483                     
                                                            
                                                            

    *****

    
    
    (Release ID: 1563847) Visitor Counter : 509
