      Ministry of Rural Development

      Status of SAGY
      Posted On: 07 JAN 2019 5:08PM by PIB Delhi


    An Adarsh Gram evolves out of people’s shared vision, using their capacities and available resources to the best extent possible, duly facilitated by the Hon’ble Member of Parliament, the Gram Panchayat, civil society and the government machinery. The elements of an Adarsh Gram are context specific. The Gram Panchayats adopted under SAGY prepare Village Development Plans (VDP) through a participatory process under the guidance of Hon’ble Members of Parliament. The VDP includes prioritised time-bound activities to achieve holistic progress of the village. The progress of implementation of the VDPs in the SAGY Gram Panchayats as reported is satisfactory. As per data updated by the States/UTs on the SAGY website till 2nd January 2018, VDPs have been prepared by 1,155 Gram Panchayats containing 63,586 projects, out of which 32,682 (51%) projects are completed. The State-wise number of Gram Panchayats adopted under SAGY and progress of VDPs are given in Annexure.


    This information was given by the Minister of State for Rural Development, Shri Ram Kripal Yadav in Rajya Sabha today.


      Annexure


      State/UT-wise number of Gram Panchayats adopted under SAGY and of VDPs

                                                                                    
S.No  State / UT              No of SAGY  No. of VDPs  Total Number  No. of Projects
                                                                                    
                                                                                    
                                                                                    
                              GPs                      of Projects   Completed      
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
1     Andaman and Nicobar     3           2            242           192            
                                                                                    
                                                                                    
                                                                                    
      Islands                                                                       
                                                                                    
                                                                                    
                                                                                    
2     Andhra Pradesh          65          33           1056          360            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
3     Arunachal Pradesh       7           3            216           28             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
4     Assam                   35          26           2428          557            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
5     Bihar                   81          60           4824          1450           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
6     Chandigarh              2           2            31            14             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
7     Chhattisgarh            44          32           2673          1457           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
8     Dadra And Nagar Haveli  1           0            0             0              
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
9     Daman And Diu           1           1            52            32             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
10    Delhi                   13          0            0             0              
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
11    Goa                     5           4            610           84             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
12    Gujarat                 73          56           1458          1088           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
13    Haryana                 32          31           1549          944            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
14    Himachal Pradesh        15          14           1293          401            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
15    Jammu And Kashmir       14          12           890           398            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
16    Jharkhand               50          42           3986          1563           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
17    Karnataka               57          55           9640          5049           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
18    Kerala                  78          55           3466          1406           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
19    Lakshadweep             1           1            79            4              
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
20    Madhya Pradesh          68          52           2531          1653           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
21    Maharashtra             133         101          6837          2989           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
22    Manipur                 12          12           787           348            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
23    Meghalaya               7           4            320           86             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
24    Mizoram                 5           5            514           325            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
25    Nagaland                3           2            71            16             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
26    Odisha                  46          36           942           165            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
27    Puducherry              2           2            72            17             
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
28    Punjab                  32          23           815           250            
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
29    Rajasthan               77          63           3531          1313           
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                           
30  Sikkim         4     4     162    112  
                                           
                                           
                                           
                                           
                                           
                                           
31  Tamil Nadu     158   120   4012   3746 
                                           
                                           
                                           
                                           
                                           
                                           
32  Telangana      45    32    1638   746  
                                           
                                           
                                           
                                           
                                           
                                           
33  Tripura        4     3     159    86   
                                           
                                           
                                           
                                           
                                           
                                           
34  Uttar Pradesh  268   257   6166   5400 
                                           
                                           
                                           
                                           
                                           
                                           
35  Uttarakhand    15    9     475    403  
                                           
                                           
                                           
                                           
                                           
                                           
36  West Bengal    9     1     61     0    
                                           
                                           
                                           
                                           
                                           
                                           
    Total          1465  1155  63586  32682
                                           
                                           
                                           
                                           
                                           

      ****


      APS/SNC/AS

    
    
    (Release ID: 1558922) Visitor Counter : 1048
