      रक्षा मंत्रालय

      गणतंत्र दिवस 2019 पर विशिष्ट सेवा और वीरता पुरस्कार विजेताओं के नाम
      Posted On: 25 JAN 2019 6:34PM by PIB Delhi


    गणतंत्र दिवस- 2019 के अवसर पर निम्नलिखित नौसेना कार्मिकों को वीरता पुरस्कार से सम्मानित किया गया हैः-

                                                                                                                                            
क्र.सं.  नाम और रैंक                                    पी . सं.        नियुक्ति / यूनिट                                  पुरस्कार          
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
1.       वीएडीएम अजीत कुमार पायापीलील, एवीएसएम,वीएसएम   02275-डबल्यू    वीसीएनएस                                          पीवीएसएम          
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
2.       वीएडीएम गुरतेज सिंह पाब्बी , एवीएसएम , वीएसएम  40869- एच       सीओएम                                             पीवीएसएम          
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
3.       वीएडीएम अजय कुमार सक्सेना एवीएसएम , वीएसएम     50763- डब्ल्यू  सीडब्ल्यूपी एंड ए                                 पीवीएसएम          
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
4.       वीएएमडी बधवारविनय , एनएम                       02437- एन       मुख्य हाइड्रोग्राफर आईएचक्यू रक्षा मंत्रालय (एम)  एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
5.       वीएएमडी सुनील आनंद , एनएम                      02585- जेड      सीओएल                                             एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
6.       आरएडीएम नैथानी संदीप , वीएसएम                  50884- डब्ल्यू  एन डी (एमबीआई )                                   एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
7.       आरएडीएम रवींद्र जयंत नाडकर्णी , वीएसएम         02602- एन       एचक्यूएसएनसी / सीओएस                              एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
8.       आरएडीएम कपिल मोहन धीर , वीएसएम                 02785- बी       एचक्यू आईडीएस                                     एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
9.       आरएडीएम मकरंद अरविंद हम्पीहोली , एनएम          02859- वाई      मुख्यालय पश्चिमी बेड़ा                            एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
10.      आरएडीएम दिनेश कुमार त्रिपाठी , एनएम            02904- जेड      एफओसीएफ                                           एवीएसएम           
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
11.      सीडीआर टी. अनूप कुमार                          04356- जेड      नौसेना विमान यार्ड (कोच्चि)                       एनएम (जी)         
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
12.      सीडीआर हरिगोविन्द आर                           04387- डब्ल्यू  आईएनएस 322 / आईएनएस गरुड़                         एनएम (जी)         
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
13.      सीडीआर विजय वर्मा                              04799- एफ       32 1 गरुड़ फ्लाइट/आईएनएस गरुड़                    एनएम (जी)         
                                                                                                                                            
                                                                                                                                            
                                                                                                                                            
14.      लेफ्टिनेंट कमांडर शिरीष शिवनाथ पावले           06242- के       आईएनएस अभिमन्यु                                   एनएम (जी)         
                                                                                                                                            
                                                                                                                                            
