      Ministry of Road Transport & Highways

      Ongoing Highway Projects in Karnataka
      Posted On: 04 JUL 2019 2:41PM by PIB Delhi


    The details of the ongoing National Highway projects in the State of Karnataka, the funds allocated, sanctioned and status of implementation of each project are as below:

                                                                                                                                                                                                                                                                                                                                                                                               
Sl. No.  Project Name                                                                                                                                                                                                                                                                                Mode        Estimated cost (Rs. in Cr)  Total Length (km)  Length Completed upto May, 2019
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                               
1        Four laning of Kundapur to Surathkal (Km.283.300 to Km.358.000) and Nantoor to Talapady (Km.375.300 to Km.376.600 (Panaji – Mangalore section) & Km.3.600 to Km.17.200 (Mangalore-Cochin section) section of NH-17)                                                                         BOT (Toll)  671                         90.08              87.63                          
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
2        4-laning of Maharashtra/Karnataka Border to Sangareddy section of NH-9 (from km.348+800 to km.423+800 in the State of Karnataka & Telangana                                                                                                                                                 BOT (Toll)  1544                        145                143.00                         
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
3        Four laning of Goa-Karnataka Border to Kundapur section of NH-66 (formerly NH-17) from Km. 93.700 to Km. 283.300                                                                                                                                                                            BOT (Toll)  1655.01                     187.24             132.24                         
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
4        Two lane with paved shoulders of Bijapur-Gulbarga-Humnabad section of NH-218 from Km 195.00 to 418.00.                                                                                                                                                                                      EPC         523                         220                219.42                         
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
5        Four laning of Hospet-Chitradurga section of NH-13 from Km.299.000 to Km.418.600                                                                                                                                                                                                            BOT (Toll)  1388                        120                105.50                         
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
6        4-laning of Hassan to Maranahally section of NH-48 (Package-I)                                                                                                                                                                                                                              EPC         573                         45.14              0.00                           
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
7        4-laning of Addahole (near Gundya) to Bantwal Cross section of NH-48 (Package-II)                                                                                                                                                                                                           EPC         821.08                      63.05              0.00                           
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
8        Four lanning of Hospet - Hubli Section of NH-63 from Km.132 to Km.268.700                                                                                                                                                                                                                   EPC         1334.7                      143.72             89.00                          
                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                               
