      Ministry of Textiles

      Special Textile Manufacturing Zones
      Posted On: 19 JUL 2019 5:52PM by PIB Delhi


    At present, there is no proposal to establish Special Textile Manufacturing Zone in the country. However, the Government is implementing the Scheme for Integrated Textile Park (SITP) which provides support for creation of world-class infrastructure facilities for setting up of textile units, with a Government of India grant upto 40% of the project cost with ceiling limit of Rs. 40.00 crores for each park. The Scheme is a demand driven scheme. The approved textile units in Textiles Parks set up across the country are given below:

                                                                                                                   
S. No.  Name of Park                                     State             Status       Units proposed and approved
                                                                                                                   
                                                                                                                   
                                                                                                                   
1       Brandix India Apparel City Private Limited       Andhra Pradesh    Completed    400                        
                                                                                                                   
                                                                                                                   
                                                                                                                   
2       HindupurVyapar Apparel Park Limited              Andhra Pradesh    Sanctioned   16                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
                                                                                                                   
                                                                                                                   
3       MAS Fabric (India) Park Ltd                      Andhra Pradesh    Operational  17                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
4       Guntur Textile Park                              Andhra Pradesh    Sanctioned   10                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
5       Tarkeshwara Textile Park Pvt. Ltd                Andhra Pradesh    Sanctioned   61                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
6       PragJyoti Textile Park                           Assam             Sanctioned   42                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
7       Gujarat Eco Textile Park Limited                 Gujarat           Completed    33                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
8       Mundra SEZ Textile & Apparel Park Limited        Gujarat           Completed    11                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
9       Fairdeal Textile Park Pvt. Ltd.                  Gujarat           Completed    30                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
10      Vraj Integrated Textile Park Limited             Gujarat           Completed    15                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
11      Sayana Textile Park Ltd                          Gujarat           Completed    50                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
12      Surat Super Yarn Park Limited                    Gujarat           Completed    27                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
13      RJD Integrated Textile Park                      Gujarat           Completed    579                        
                                                                                                                   
                                                                                                                   
                                                                                                                   
14      Kejriwal Integrated Textile Park Pvt. Ltd        Gujarat           Operational  34                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
15      Amitara Green Hi Tech Textile Park               Gujarat           Operational  11                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
16      Palsana Textile Park                             Gujarat           Sanctioned   62                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
17      Shanti Textile Park Gujarat                      Gujarat           Sanctioned   45                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
18      NSP Infrastructure                               Gujarat           Sanctioned   42                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
19      Karanj Integrated Textile Park                   Gujarat           Sanctioned   42                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
20      Shahlon Textile Park                             Gujarat           Sanctioned   25                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
21      Aalishan Eco Textile Park Pvt. Ltd               Haryana           Sanctioned   12                         
                                                                                                                   
                                                                                                                   
                                                                                                                   
