      زراعت اور کاشتکاروں کی فلاح و بہبود کی وزارت

      ایم –کسان پورٹل
      Posted On: 02 JUL 2019 6:40PM by PIB Delhi


    نئیدہلی 03 جولائی ۔زراعت اور کسانوں کی فلاح وبہبود کے مرکزی وزیر جناب نریندر سنگھ تومر نے لوک سبھا میں ایک سوال کے تحریری جواب میں بتایا کہ ایم- کسان پورٹل یعنی . https://mkisan.gov.in پرفراہم معلومات اور خدمات دراصل کسانوں کو ایس ایم ایس اور وائس کے ذریعہ فصلوں سے متعلق مشورے ہوتے ہیں۔کسان ایس ایم ایس سروس کے ذریعہ اپنا اندراج کراسکتے ہیں اور فراہم شدہ خدمات کے بارے میں اپنی رائے ظاہرکرسکتے ہیں۔ اس کےعلاوہ کسانوں کے لئے انٹر ایکٹو وائس ریسپانس سسٹم خدمات اور موسم کے بارے میں جانکاری بھی فراہم کی جاتی ہے ۔25 مئی 2013 کو اس پورٹل کے شروع کئے جانے کے بعد سے 28 جون 2019 تک کسانوں کو 24623710138 ایس ایم ایس بھیجے جاچکے تھے۔ اس پورٹل پر جن کسانوںکا اندرا ج ہے ، ان کے لئے مشورے 12زبانوں میں بھیجے جاسکتے ہیں ۔ ان زبانوں میں بنگالی ، گجراتی ، ہندی ، کنڑ ، ملیالم ،مراٹھی ،اُڑیہ ، پنجابی ،تمل ،تیلگو ، اردو اور انگلش زبانیں شامل ہیں۔


    ریاست وار اندراج شدہ کسانوں کی تعداد ( 28جون 2019 تک )

         
                                               
نمبر شمار  ریاست کا نام         کسانوں کی تعداد
                                               
                                               
                                               
1          انڈمان نکوبار جزائر  11989          
                                               
                                               
                                               
2          آندھرا پردیش        5313689        
                                               
                                               
                                               
3          اروناچل پردیش        1257           
                                               
                                               
                                               
4          آسام                78249          
                                               
                                               
                                               
5          بہار                 1032234        
                                               
                                               
                                               
6          چنڈی گڑھ             640            
                                               
                                               
                                               
7          چھتیس گڑھ            1527476        
                                               
                                               
                                               
8          دادرا اور نگر حویلی  1235           
                                               
                                               
                                               
9          دمن اوردیو           74             
                                               
                                               
                                               
10         دہلی                 48906          
                                               
                                               
                                               
11         گوا                  23755          
                                               
                                               
                                               
12         گجرات                1224048        
                                               
                                               
                                               
13         ہریانہ               1311885        
                                               
                                               
                                               
14         ہماچل پردیش          733962         
                                               
                                               
                                               
15         جموں وکشمیر          256018         
                                               
                                               
                                               
16         جھارکھنڈ             810946         
                                               
                                               
                                               
17         کرناٹک               763898         
                                               
                                               
                                               
18         کیرالہ               1050629        
                                               
                                               
                                               
19         لکشدیپ               26             
                                               
                                               
                                               
20         مدھیہ پردیش          2321973        
                                               
                                               
                                               
21         مہاراشٹر             6369389        
                                               
                                               
                                               
22         منی پور              4241           
                                               
                                               
                                               
23         میگھالیہ             5042           
                                               
                                               
                                               
24         میزورم               4541           
                                               
                                               
                                               
25         ناگالینڈ             27657          
                                               
                                               
                                               
26         اوڈیشہ               3008725        
                                               
                                               
                                               
27         پوڈیچری              11202          
                                               
                                               
                                               
28         پنجاب                724908         
                                               
                                               
                                               
29         راجستھان             3200755        
                                               
                                               
                                               
30         سکّم                 26244          
                                               
                                               
                                               
31         تمل ناڈو             1232068        
                                               
                                               
                                               
32         تلنگانہ              2782294        
                                               
                                               
                                               
34         تریپورا              40993          
                                               
                                               
                                               
35         اترپردیش             14123357       
                                               
                                               
                                               
36         اتراکھنڈ             199109         
                                               
                                               
                                               
37         مغربی بنگال          1790872        
                                               
                                               
                                               
50064286   کل میزان                            
                                               
                                               

    ۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰


    U-2 774

    
    
    (Release ID: 1576759) Visitor Counter : 5
    
    
      Read this release in: English , Bengali
