      خواتین اور بچوں کی ترقیات کی وزارت

      قومی کمیشن برائے خواتین (این سی ڈبلیو) میں درج عصمت دری کے معاملات
      Posted On: 18 JUL 2019 4:45PM by PIB Delhi


    نئی دہلی، 18 ؍ جولائی۔2014 تا 2019 کے دوران ‘‘ عصمت دری /عصمت کی کوشش ’’کے زمرے کے تحت قومی کمیشن برائے خواتین (این سی ڈبلیو )میں درج شکایات کی تفصیلات ریاست/ مرکز کے زیر انتظام علاقے کے لحاظ سے ضمیمہ میں درج ہیں۔ اعداد و شمار کے مطابق اترپردیش، دلی، ہریانہ، راجستھان اور بہار کی ریاستوں سے سب سے زیادہ شکایات موصول ہوئی ہیں۔


    قومی کمیشن برائے خواتین نے سال 10-2009 میں عصمت دری اور متعلقہ قوانین میں ترمیم کرنے کے لئے سفارشات کی تھیں۔کمیشن کی ان سفارشات کو فوجداری قانون ترمیمی ایکٹ، 2013 میں مناسب طور سے شامل کیا گیا۔


    ضمیمہ


    قومی کمیشن برائے خواتین (این سی ڈبلیو) میں عصمت دری / عصمت دری کی کوشش کے زمرے کے تحت درج شکایات سے متعلق اعداد و شمار ریاست / مرکز کے زیر انتظام علاقے کے لحاظ سے

                                                                     
نمبر شمار  ریاست               2014   2015   2016  2017   2018   2019
                                                                     
                                                                     
                                                                     
1          آندھرا پردیش        3      4      4     7      7      2   
                                                                     
                                                                     
                                                                     
2          اروناچل پردیش       -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
3          آسام                3      2      5     2      6      1   
                                                                     
                                                                     
                                                                     
4          بہار                50     56     40    48     87     23  
                                                                     
                                                                     
                                                                     
5          چنڈی گڑھ            4      1      4     4      1      -   
                                                                     
                                                                     
                                                                     
6          چھتس گڑھ            7      13     8     8      11     1   
                                                                     
                                                                     
                                                                     
7          دادر اور نگر حویلی  -      2      2     -      1      1   
                                                                     
                                                                     
                                                                     
8          دمن اور دیو                                               
                                                                     
                                                                     
                                                                     
9          دلی                 147    148    113   96     135    28  
                                                                     
                                                                     
                                                                     
10         گوا                 -      2      1     -      -      -   
                                                                     
                                                                     
                                                                     
11         گجرات               5      13     10    9      11     2   
                                                                     
                                                                     
                                                                     
12         ہریانہ              158    116    69    126    166    24  
                                                                     
                                                                     
                                                                     
13         ہماچل پردیش         2      2      6     1      6      3   
                                                                     
                                                                     
                                                                     
14         جموں و کشمیر        -      1      3     4      2      -   
                                                                     
                                                                     
                                                                     
15         جھارکھنڈ            27     25     11    15     20     4   
                                                                     
                                                                     
                                                                     
16         کرناٹک              8      10     17    14     17     3   
                                                                     
                                                                     
                                                                     
17         کیرالہ              1      3      4     4      9      -   
                                                                     
                                                                     
                                                                     
18         لکشدیپ              -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
19         مدھیہ پردیش         73     60     48    41     35     9   
                                                                     
                                                                     
                                                                     
20         مہاراشٹر            35     28     47    34     25     13  
                                                                     
                                                                     
                                                                     
21         منی پور             -      -      -     -      2      -   
                                                                     
                                                                     
                                                                     
22         میگھالیہ            -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
23         میزورم              -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
24         ناگالینڈ            1      -      -     -      -      1   
                                                                     
                                                                     
                                                                     
25         اڈیشہ               8      7      6     10     8      5   
                                                                     
                                                                     
                                                                     
26         پڈوچیری             -      1      -     -      -      -   
                                                                     
                                                                     
                                                                     
27         پنجاب               17     9      22    22     22     5   
                                                                     
                                                                     
                                                                     
28         راجستھان            146    142    64    95     112    14  
                                                                     
                                                                     
                                                                     
29         سکم                 -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
30         تمل ناڈو            11     11     24    21     21     6   
                                                                     
                                                                     
                                                                     
31         تلنگانہ             10     8      10    7      1      5   
                                                                     
                                                                     
                                                                     
32         تریپورہ             -      -      -     -      -      -   
                                                                     
                                                                     
                                                                     
33         اترپردیش            1,802  1,626  809   1,027  1,333  390 
                                                                     
                                                                     
                                                                     
34         اتراکھنڈ            43     26     12    20     22     2   
                                                                     
                                                                     
                                                                     
35         مغربی بنگال         14     12     20    22     22     8   
                                                                     
                                                                     

    خواتین اور بچوں کی ترقی کی وزیر محترمہ اسمرتی زوبن ایرانی نے آج راجیہ سبھا میں ایک سوال کے تحریری جواب میں یہ اطلاع فراہم کی ۔


    ۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰


    م ن ۔ م ع ۔ک ا


    U- 3248


    

    
    (Release ID: 1579432) Visitor Counter : 4
    
    
      Read this release in: English
