      Ministry of Railways

      CANCELLATION OF TRAINS DUE TO CYCLONE “FANI”
      Posted On: 02 MAY 2019 11:22AM by PIB Kolkata


    Kolkata, 1 st May, 2019


    South Eastern Railway has taken precautionary measures in view of the severe cyclone “FANI” which is likely to hit the coastal Odisha. To ensure passenger safety, it has been decided to cancel the following trains.

                                                                                                                           
Sl.No.  Train No.  Train Name                                        From                 To                   Cancelled on
                                                                                                                           
                                                                                                                           
                                                                                                                           
1       18645      East Coast Express                                Howrah               Hyderabad            02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
2       12841      Coromandal Express                                Howrah               MGR Chennai Central  02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
3       22851      Santragachi-Mangalore Central Vivek Express       Santaragachi         Mangalore            02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
4       12663      Howrah-Tiruchchirapalli Express                   Howrah               Tiruchchirapali      02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
5       12863      Howrah Yesvantpur Express                         Howrah               Yesvantpur           02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
6       12839      Howrah-Chennai Mail                               Howrah               MGR Chennai Central  02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
7       06057      Santragachi-Chennai Special                       Santragachi          MGR Chennai Central  02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
8       12703      Falaknuma Express                                 Howrah               Secunderabad         03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
9       12245      Howrah-Yesvantpur Duronto                         Howrah               Yesvantpur           03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
10      22603      Kharagpur-Villupuram Express                      Kharagpur            Villupuram           03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
11      18645      East Coast Express                                Howrah               Hyderabad            03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
12      12073      Howrah-Bhubaneswar Jan Shatabdi Express           Howrah               Bhubaneswar          03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
13      12277      Howrah-Puri Shatabdi Express                      Howrah               Puri                 03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
14      12841      Coromandal Express                                Howrah               MGR Chennai Central  03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
15      22817      Howrah-Mysuru Express                             Howrah               Mysore               03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
16      22807      Santragachi-MGR Chennai Central AC Express        Santragachi          MGR Chennai Central  03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
17      22839      Rourkela – Bhubaneswar Intercity Express          Rourkela             Bhubaneswar          03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
18      12842      Coromandal Express                                MGR Chennai Central  Howrah               02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
19      12842      Coromandal Express                                MGR Chennai Central  Howrah               03/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
20      22808      MGR Chennai Central-Santragachi AC Express        MGR Chennai Central  Santragachi          02/5/2019   
                                                                                                                           
                                                                                                                           
                                                                                                                           
