      রেলমন্ত্রক

      সামুদ্রিক ঘূর্ণীঝড় “ফণী”র দরুণ বাতিল হওয়া ট্রেন
      Posted On: 02 MAY 2019 2:24PM by PIB Kolkata


    কলকাতা, ০১ মে, ২০১৯

                                                                                                                                               
ক্রমিক সংখ্যা  ট্রেন নম্বর  ট্রেনের নাম                                        যাত্রাসূচনা স্টেশন  গন্তব্য স্টেশন            বাতিল ঘোষণার তারিখ
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১              ১৮৬৪৫        ইস্ট কোস্ট এক্সপ্রেস                               হাওড়া              হায়দ্রাবাদ                ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
২              ১২৮৪১        করমন্ডল এক্সপ্রেস                                  হাওড়া              এমজিআর চেন্নাই সেন্ট্রাল  ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৩              ২২৮৫১        সাঁতরাগাছি-ম্যাঙ্গালোর সেন্ট্রাল বিবেক এক্সপ্রেস   সাঁতরাগাছি          ম্যাঙ্গালোর               ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৪              ১২৬৬৩        হাওড়া-তিরুচিরাপল্লী এক্সপ্রেস                     হাওড়া              তিরুচিরাপল্লী             ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৫              ১২৮৬৩        হাওড়া-যশবন্তপুর এক্সপ্রেস                         হাওড়া              যশবন্তপুর                 ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৬              ১২৮৩৯        হাওড়া-চেন্নাই মেল                                 হাওড়া              এমজিআর চেন্নাই সেন্ট্রাল  ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৭              ০৬০৫৭        সাঁতরাগাছি- চেন্নাই স্পেশাল                        সাঁতরাগাছি          এমজিআর চেন্নাই সেন্ট্রাল  ২ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৮              ১২৭০৩        ফলকনুমা এক্সপ্রেস                                  হাওড়া              সেকেন্দ্রাবাদ             ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
৯              ১২২৪৫        হাওড়া-যশবন্তপুর দুরন্ত                            হাওড়া              যশবন্তপুর                 ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১০             ২২৬০৩        খড়গপুর-ভিল্লুপুরম এক্সপ্রেস                       খড়গপুর             ভিল্লুপুরম                ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১১             ১৮৬৪৫        ইস্টকোস্ট এক্সপ্রেস                                হাওড়া              হায়দ্রাবাদ                ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১২             ১২০৭৩        হাওড়া-ভুবনেশ্বর জনশতাব্দী এক্সপ্রেস               হাওড়া              ভুবনেশ্বর                 ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১৩             ১২২৭৭        হাওড়া-পুরী শতাব্দী এক্সপ্রেস                      হাওড়া              পুরী                      ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১৪             ১২৮৪১        করমন্ডল এক্সপ্রেস                                  হাওড়া              এমজিআর চেন্নাই সেন্ট্রাল  ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১৫             ২২৮১৭        হাওড়া-মাইসুরু এক্সপ্রেস                           হাওড়া              মাইসোর                    ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১৬             ২২৮০৭        সাঁতরাগাছি-এমজিআর চেন্নাই সেন্ট্রাল এসি এক্সপ্রেস  সাঁতরাগাছি          এমজিআর চেন্নাই সেন্ট্রাল  ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               
                                                                                                                                               
১৭             ২২৮৩৯        রৌরকেল্লা-ভুবনেশ্বর ইন্টারসিটি এক্সপ্রেস           রৌরকেল্লা           ভুবনেশ্বর                 ৩ মে, ২০১৯        
                                                                                                                                               
                                                                                                                                               

    CG/BD/NS

    
    
    (Release ID: 1571474) Visitor Counter : 313
