      রেলমন্ত্রক

      সামুদ্রিক ঘূর্ণীঝড় “ফণী”র দরুণ দক্ষিণ ভারত ও পুরী থেকে বাতিল হওয়া ট্রেন
      Posted On: 02 MAY 2019 2:27PM by PIB Kolkata


    কলকাতা, ০১ মে, ২০১৯

                                                                                                                                                 
ক্রমিক সংখ্যা  ট্রেন নম্বর  ট্রেনের নাম                                           যাত্রাসূচনা স্টেশন        গন্তব্য স্টেশন     বাতিল ঘোষণার তারিখ
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
১              ১২৮৪২        করমন্ডল এক্সপ্রেস                                     এমজিআর চেন্নাই সেন্ট্রাল  হাওড়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
২              ১২৮৪২        করমন্ডল এক্সপ্রেস                                     এমজিআর চেন্নাই সেন্ট্রাল  হাওড়া             ৩ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৩              ২২৮০৮        এমজিআর চেন্নাই সেন্ট্রাল- সাঁতরাগাছি এসি এক্সপ্রেস    এমজিআর চেন্নাই সেন্ট্রাল  সাঁতরাগাছি         ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৪              ১৮৬৪৬        ইস্টকোস্ট এক্সপ্রেস                                   হায়দ্রাবাদ                হাওড়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৫              ১২২৪৬        দুরন্ত এক্সপ্রেস                                      যশবন্তপুর                 হাওড়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৬              ১২৭০৪        ফলকনুমা এক্সপ্রেস                                     সেকেন্দ্রাবাদ             হাওড়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৭              ২২৬১৩        এমজিআর চেন্নাই সেন্ট্রাল-হলদিয়া এক্সপ্রেস             এমজিআর চেন্নাই সেন্ট্রাল  হলদিয়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৮              ২২৮৮৮        হামসফর এক্সপ্রেস                                      যশবন্তপুর                 হাওড়া             ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
৯              ২২৮২৬        এমজিআর চেন্নাই সেন্ট্রাল-শালিমার এক্সপ্রেস            এমজিআর চেন্নাই সেন্ট্রাল  শালিমার            ২ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
১০             ১২২৭৮        শতাব্দী এক্সপ্রেস                                     পুরী                      হাওড়া             ৩ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
১১             ১৮৪১৬        বারবিল এক্সপ্রেস                                      পুরী                      বারবিল             ৩ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
১২             ১২৮২২        ধৌলি এক্সপ্রেস                                        পুরী                      হাওড়া             ৩ মে, ২০১৯        
                                                                                                                                                 
                                                                                                                                                 
                                                                                                                                                 
