      Ministry of Skill Development and Entrepreneurship

      15697 Industrial Training Institutes Functioning in the Country
      Posted On: 18 NOV 2019 2:42PM by PIB Delhi


    There are 15697 Industrial Training Institutes (ITIs) functioning in the country, affiliated with National Council of Vocational Training. The State/UT wise details are as under .

                                                    
Number of ITIs State/UT wise as on October 31st 2019
                                                    
                                                    
                                                                                                 
Sl. No.                                               Name of State/UT             Number of ITIs
                                                                                                 
                                                                                                 
                                                                                                 
1                                                     ANDAMAN AND NICOBAR ISLANDS  4             
                                                                                                 
                                                                                                 
                                                                                                 
2                                                     ANDHRA PRADESH               513           
                                                                                                 
                                                                                                 
                                                                                                 
3                                                     ARUNACHAL PRADESH            6             
                                                                                                 
                                                                                                 
                                                                                                 
4                                                     ASSAM                        37            
                                                                                                 
                                                                                                 
                                                                                                 
5                                                     BIHAR                        1264          
                                                                                                 
                                                                                                 
                                                                                                 
6                                                     CHANDIGARH                   2             
                                                                                                 
                                                                                                 
                                                                                                 
7                                                     CHHATTISGARH                 235           
                                                                                                 
                                                                                                 
                                                                                                 
8                                                     DADRA AND NAGAR HAVELI       1             
                                                                                                 
                                                                                                 
                                                                                                 
9                                                     DAMAN AND DIU                2             
                                                                                                 
                                                                                                 
                                                                                                 
10                                                    DELHI                        60            
                                                                                                 
                                                                                                 
                                                                                                 
11                                                    GOA                          15            
                                                                                                 
                                                                                                 
                                                                                                 
12                                                    GUJARAT                      530           
                                                                                                 
                                                                                                 
                                                                                                 
13                                                    HARYANA                      405           
                                                                                                 
                                                                                                 
                                                                                                 
14                                                    HIMACHAL PRADESH             292           
                                                                                                 
                                                                                                 
                                                                                                 
15                                                    JAMMU AND KASHMIR            41            
                                                                                                 
                                                                                                 
                                                                                                 
16                                                    JHARKHAND                    327           
                                                                                                 
                                                                                                 
                                                                                                 
17                                                    KARNATAKA                    1557          
                                                                                                 
                                                                                                 
                                                                                                 
18                                                    KERALA                       651           
                                                                                                 
                                                                                                 
                                                                                                 
19                                                    LAKSHADWEEP                  1             
                                                                                                 
                                                                                                 
                                                                                                 
20                                                    MADHYA PRADESH               1167          
                                                                                                 
                                                                                                 
                                                                                                 
21                                                    MAHARASHTRA                  994           
                                                                                                 
                                                                                                 
                                                                                                 
22                                                    MANIPUR                      1             
                                                                                                 
                                                                                                 
                                                                                                 
23                                                    MEGHALAYA                    6             
                                                                                                 
                                                                                                 
                                                                                                 
24                                                    MIZORAM                      3             
                                                                                                 
                                                                                                 
                                                                                                 
25                                                    NAGALAND                     2             
                                                                                                 
                                                                                                 
                                                                                                 
26                                                    ODISHA                       580           
                                                                                                 
                                                                                                 
                                                                                                 
27                                                    PUDUCHERRY                   15            
                                                                                                 
                                                                                                 
                                                                                                 
28                                                    PUNJAB                       384           
                                                                                                 
                                                                                                 
                                                                                                 
29                                                    RAJASTHAN                    1923          
                                                                                                 
                                                                                                 
                                                                                                 
30                                                    SIKKIM                       3             
                                                                                                 
                                                                                                 
                                                                                                 
31                                                    TAMIL NADU                   592           
                                                                                                 
                                                                                                 
                                                                                                 
32                                                    TELANGANA                    302           
                                                                                                 
                                                                                                 
                                                                                                 
33                                                    TRIPURA                      20            
                                                                                                 
                                                                                                 
                                                                                                 
34                                                    UTTAR PRADESH                3302          
                                                                                                 
                                                                                                 
                                                                                                 
35                                                    UTTARAKHAND                  195           
                                                                                                 
                                                                                                 
                                                                                                 
36                                                    WEST BENGAL                  265           
                                                                                                 
                                                                                                 
                                                                                 
Total                                                 15697                      
                                                                                 
                                                                                 

    This information was given by the Minister of State for Skill Development and Entrepreneurship Shri R.K. Singh in a written reply in the Lok Sabha today.


    *****


    YB/SK

    
    
    (Release ID: 1591949) Visitor Counter : 385
    
    
      Read this release in: Urdu
