      Ministry of Textiles

      G.I. Tagged Products
      Posted On: 29 NOV 2019 3:33PM by PIB Delhi


    The Ministry of Textiles provides financial assistance for registration of handloom products under the Geographical Indications (GI) of Goods Act, 1999. GI help desks have been setup at each Weavers Service Centre to address the issues related to GI products and to promote GI in handloom clusters. So far, 65 handloom products and 6 product logos are registered under GI Act. State- wise list of handloom products is as under:

      
      
      
                                                                                  
Sl.No.  Geographical Indications                        Goods     State           
                                                                                  
                                                                                  
                                                                                  
1       Uppada Jamdani Sarees                           Handloom  Andhra Pradesh  
                                                                                  
                                                                                  
                                                                                  
2       Venkatagiri Sarees                              Handloom  Andhra Pradesh  
                                                                                  
                                                                                  
                                                                                  
3       Mangalagiri Sarees And Fabrics                  Handloom  Andhra Pradesh  
                                                                                  
                                                                                  
                                                                                  
4       Dharmavaram Handloom Pattu Sarres And Paavadas  Handloom  Andhra Pradesh  
                                                                                  
                                                                                  
                                                                                  
5       Muga Silk of Assam                              Handloom  Assam           
                                                                                  
                                                                                  
                                                                                  
6       Bhagalpur Silk                                  Handloom  Bihar           
                                                                                  
                                                                                  
                                                                                  
7       Champa Silk Saree And Fabrics                   Handloom  Chhattisgarh    
                                                                                  
                                                                                  
                                                                                  
8       Tangaliya Shawl                                 Handloom  Gujarat         
                                                                                  
                                                                                  
                                                                                  
9       Kachchh Shawls                                  Handloom  Gujarat         
                                                                                  
                                                                                  
                                                                                  
10      Patan Patola                                    Handloom  Gujarat         
                                                                                  
                                                                                  
                                                                                  
11      Kullu Shawl                                     Handloom  Himachal Pradesh
                                                                                  
                                                                                  
                                                                                  
12      Kinnauri Shawl                                  Handloom  Himachal Pradesh
                                                                                  
                                                                                  
                                                                                  
13      Kashmir Pashmina                                Handloom  Jammu & Kashmir 
                                                                                  
                                                                                  
                                                                                  
14      Kani Shawl                                      Handloom  Jammu & Kashmir 
                                                                                  
                                                                                  
                                                                                  
15      Navalgund Durries                               Handloom  Karnataka       
                                                                                  
                                                                                  
                                                                                  
16      Ilkal Sarees                                    Handloom  Karnataka       
                                                                                  
                                                                                  
                                                                                  
17      Molakalmuru Sarees                              Handloom  Karnataka       
                                                                                  
                                                                                  
                                                                                  
18      Udupi Sarees                                    Handloom  Karnataka       
                                                                                  
                                                                                  
                                                                                  
19      Cannanore Home Furnishings                      Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
20      Balaramapuram Sarees And Fine Cotton Fabrics    Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
21      Kasaragod Sarees                                Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
22      Kuthampully Sarees                              Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
23      Chendamangalam Dhoties & Set Mundu              Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
24      Kuthampully Dhoties & Set Mundu                 Handloom  Kerala          
                                                                                  
                                                                                  
                                                                                  
25      Chanderi Sarees                                 Handloom  Madhya Pradesh  
                                                                                  
                                                                                  
                                                                                  
26      Maheshwar Sarees & Fabrics                      Handloom  Madhya Pradesh  
                                                                                  
                                                                                  
                                                                                  
27      Solapur Chaddar                                 Handloom  Maharashtra     
                                                                                  
                                                                                  
                                                                                  
