      Ministry of Commerce & Industry

      27,916 Startups Recognized by DPIIT
      Posted On: 07 FEB 2020 4:56PM by PIB Delhi


    Department for Promotion of Industry and Internal Trade (DPIIT) has recognized 27,916 startups, as on 1 st February 2020.


    In the state of Rajasthan800 startups have been recognizedby the Department for Promotion of Industry and Internal Trade, as on 1 st February 2020. Details of district wise Startups recognized in the state of Rajasthan as on 1 st February 2020 are given below:

                                  
District        Number of Startups
                                  
                                  
                                  
AJMER           24                
                                  
                                  
                                  
ALWAR           35                
                                  
                                  
                                  
BARAN           1                 
                                  
                                  
                                  
BARMER          1                 
                                  
                                  
                                  
BHARATPUR       4                 
                                  
                                  
                                  
BHILWARA        10                
                                  
                                  
                                  
BIKANER         13                
                                  
                                  
                                  
BUNDI           2                 
                                  
                                  
                                  
CHITTORGARH     5                 
                                  
                                  
                                  
CHURU           6                 
                                  
                                  
                                  
DAUSA           5                 
                                  
                                  
                                  
DHOLPUR         5                 
                                  
                                  
                                  
DUNGARPUR       3                 
                                  
                                  
                                  
GANGANAGAR      5                 
                                  
                                  
                                  
HANUMANGARH     6                 
                                  
                                  
                                  
JAIPUR          467               
                                  
                                  
                                  
JALORE          2                 
                                  
                                  
                                  
JHALAWAR        2                 
                                  
                                  
                                  
JHUNJHUNU       5                 
                                  
                                  
                                  
JODHPUR         45                
                                  
                                  
                                  
KARAULI         2                 
                                  
                                  
                                  
KOTA            52                
                                  
                                  
                                  
NAGAUR          8                 
                                  
                                  
                                  
PALI            7                 
                                  
                                  
                                  
RAJSAMAND       5                 
                                  
                                  
                                  
SAWAI MADHOPUR  1                 
                                  
                                  
                                  
SIKAR           6                 
                                  
                                  
                                  
SIROHI          1                 
                                  
                                  
                                  
TONK            5                 
                                  
                                  
                                  
UDAIPUR         67                
                                  
                                  
                                  
Grand Total     800               
                                  
                                  

    This information was given by the Minister of Commerce and Industry, Piyush Goyal, in a written reply in the Rajya Sabha today.


    ***


    MM/ SB

    
    
    (Release ID: 1602411) Visitor Counter : 431
