      ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ କାର୍ଯ୍ୟାଳୟ

      ମିଆଁମାର ରାଷ୍ଟ୍ରପତିଙ୍କ ଭାରତ ଗସ୍ତ ଅବସରରେ ବିନିମୟ ହୋଇଥିବା ରାଜିନାମା
      Posted On: 27 FEB 2020 9:35PM by PIB Bhubaneshwar

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
କ୍ରମିକ ସଂଖ୍ୟା  ବୁଝାମଣା/ରାଜିନାମା                                                                                                                                                                                                  ସ୍ଵାକ୍ଷରକାରୀ(ଭାରତ)                                                            ସ୍ଵାକ୍ଷରକାରୀ(ମିଆଁମାର)                                                           ବିନିମୟ                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1.             ମାନବ ଚାଲାଣ ନିରାକରଣ ପାଇଁ ସହଯୋଗ; ମାନବ ଚାଲାଣ ପୀଡିତ ଲୋକଙ୍କ ଉଦ୍ଧାର, ଥଇଥାନ, ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଏବଂ ଏକୀକରଣ କ୍ଷେତ୍ରରେ ପାରସ୍ପରିକ ସହଯୋଗ ଲାଗି ବୁଝାମଣା ।                                                                          ମହାମହିମ ଶ୍ରୀ ସୌରଭ କୁମାର, ମିଆଁମାରରେ ଅବସ୍ଥାପିତ ଭାରତୀୟ ରାଷ୍ଟ୍ରଦୂତ                ମହାମହିମ ମୋ କ୍ୟୋ ଅଂ, ଭାରତରେ ଅବସ୍ଥାପିତ ମିଆଁମାର ରାଷ୍ଟ୍ରଦୂତ                         ସ୍ଵାକ୍ଷରକାରୀଙ୍କ ସହ ସମାନ                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2.             ତ୍ଵରିତ ପ୍ରଭାବ ପ୍ରକଳ୍ପର କାର୍ଯ୍ୟାନ୍ଵୟନ ଲାଗି ଭାରତୀୟ ଅନୁଦାନ ସହାୟତା ସଙ୍କ୍ରାନ୍ତରେ ଭାରତ ସରକାର ଏବଂ ମିଆଁମାର ସରକାରଙ୍କ ମଧ୍ୟରେ ରାଜିନାମା                                                                                       ମହାମହିମ ଶ୍ରୀ ସୌରଭ କୁମାର, ମିଆଁମାରରେ ଅବସ୍ଥାପିତ ଭାରତୀୟ ରାଷ୍ଟ୍ରଦୂତ                ମହାମହିମ ମୋ କ୍ୟୋ ଅଂ, ଭାରତରେ ଅବସ୍ଥାପିତ ମିଆଁମାର ରାଷ୍ଟ୍ରଦୂତ                         ସ୍ଵାକ୍ଷରକାରୀଙ୍କ ସହ ସମାନ                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
