      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      রিভাইস তৌবা নেস্নেল ত্যুবরক্যুলোসিস কন্ত্রোল প্রোগ্রাম
      Posted On: 15 SEP 2020 3:04PM by PIB Imphal


    লৈবাক শিনবা থুংনা ব্লোক ১৩৬০দা হৌজিক্কী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈরি। রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং:

                                                                        
রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং
                                                                        
                                                                        
                                                                                                                                                    
সিরিএল নম্বর                                                              রাজ্য                         রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈবা ব্লোক মশিং
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১                                                                         অন্দমান অমসুং নিকোবার ইথৎশিং  ৪                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
২                                                                         আন্ধ্র প্রদেশ                 ২০৬                                         
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৩                                                                         অরুনাচল প্রদেশ                ১২                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৪                                                                         অসাম                          ৩৩                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৫                                                                         বিহার                         ৬০                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৬                                                                         চন্দিগর                       ৩                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৭                                                                         ছত্তিশগর                      ৩৩                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৮                                                                         দাদ্রা অমসুং নগর হভেলী        ১                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
৯                                                                         দামন অমসুং দ্যু               ২                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১০                                                                        দিল্লী                        ২৭                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১১                                                                        গোৱা                          ২                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১২                                                                        গুজরাত                        ৫৮                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৩                                                                        হরিয়ানা                       ২৯                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৪                                                                        হিমাচল প্রদেশ                 ২১                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৫                                                                        জম্মু অমসুং কাশ্মীর           ১৭                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৬                                                                        ঝারখন্দ                       ৩৮                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৭                                                                        কর্নাতকা                      ৬৮                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৮                                                                        কেরেলা                        ২০                                          
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
১৯                                                                        লদাখ                          ২                                           
                                                                                                                                                    
                                                                                                                                                    
                                                                                                                                                    
