      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      কোভিদ-১৯ তেস্তিং লেবশিং
      Posted On: 15 SEP 2020 3:00PM by PIB Imphal


    হেলথ রিসর্স দিপার্তমেন্তগী মখাদা লৈবা মরোমদোম লৈজবা ওর্গানাইজেসন ইন্দিয়ন কাউন্সিল ওফ মেদিকেল রিসর্সকী মতুং ইন্না ইন্দিয়া পুম্বদা লৈরিবা অয়াবা ফংলবা চাংয়েং তৌফম লেবকী অপুনবা মশিং অমসুং কোভিদ-১৯ তেস্ত তৌনবা লিংখৎখিবা থাগী ওইনা ২০২০গী মার্চ, এপ্রিল, মে, জুন অমসুং জুলাই, থা-খাইনা মখাদা পীরি:-

                                            
থা            কোভিদ-১৯ গী লেব লিংখৎখিবা মশিং
                                            
                                            
                                            
                                            
                                            
মার্চ, ২০২০   ১৫২                           
                                            
                                            
                                            
এপ্রিল, ২০২০  ২৪৭                           
                                            
                                            
                                            
মে, ২০২০      ২৭৫                           
                                            
                                            
                                            
জুন, ২০২০     ৩৬৭                           
                                            
                                            
                                            
জুলাই, ২০২০   ২৯৮                           
                                            
                                            

    ২০২০গী মার্চ, এপ্রিল, মে, জুন অমসুং জুলাইগী ওইবা মরিক চুম্বা ওথোরাইজ তেস্তিংগী খুদোংচাবা ফংলবা অপুনবা মশিং থা অমসুং স্তেত খাইনা মখাদা পীরি:

                                                                                   
স্তেত                     মার্চ, ২০২০  এপ্রিল, ২০২০  মে, ২০২০  জুন ২০২০  জুলাই,২০২০
                                                                                   
                                                                                   
                                                                                   
আন্দমান অমসুং নিকোবর ইথৎ  ১            ২             -         -         ১         
                                                                                   
                                                                                   
                                                                                   
অন্দ্র প্রদেশ             ৬            ৪১            ১০        ৪         ১         
                                                                                   
                                                                                   
                                                                                   
অরুনাচল প্রদেশ            -            ১             ১         ২         ৬         
                                                                                   
                                                                                   
                                                                                   
আসাম                      ৪            ২             ৩         ৪         ১০        
                                                                                   
                                                                                   
                                                                                   
বিহার                     ৫            ১             ১৪        ২২        ৬         
                                                                                   
                                                                                   
                                                                                   
চান্দিগর                  ২            ১             ১         ১         -         
                                                                                   
                                                                                   
                                                                                   
ছত্তিসগর                  ২            ১             ২         ২         ৭         
                                                                                   
                                                                                   
                                                                                   
দদ্রা অমসুং নাগর হাবেলি   -            ১             -         -         -         
                                                                                   
                                                                                   
                                                                                   
দামন অমসুং দিয়ু           -            -             -         -         -         
                                                                                   
                                                                                   
                                                                                   
দিল্লী                    ১৩           ৪             ১৮        ১১        ১০        
                                                                                   
                                                                                   
                                                                                   
গোৱা                      -            ৩             ২         -         -         
                                                                                   
                                                                                   
                                                                                   
গুজরাত                    ৪            ১০            ২১        ১৪        ৫         
                                                                                   
                                                                                   
                                                                                   
হারিয়ানা                  ৫            ৯             ৫         ৪         ৪         
                                                                                   
                                                                                   
                                                                                   
হিমাচল প্রদেশ             ২            ৩             -         ৬         ১১        
                                                                                   
                                                                                   
                                                                                   
জম্মু অমসুং কাস্মির       ৪            -             ৩         ১         ১৮        
                                                                                   
                                                                                   
                                                                                   
ঝরখন্দ                    ২            ৩             ১৫        ১১        ২         
                                                                                   
                                                                                   
