      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      কোবিদ-১৯না শোকহল্লবা মীওইশিং
      Posted On: 18 SEP 2020 4:30PM by PIB Imphal


    কোবিদ-১৯না নাখিবা, নাবা ফখিবা অমসুং শিবগী অপুনবা মশিং অসি মখাদা পীরিঃ


    রাজ্য/য়ু.তি.শিংগী ওইবা অপুনবা কোবিদ-১৯গী কেস, এক্তিব কেস, নাবা ফরবা কেস অমসুং শিখিবশিং (১৬/৯/২০২০ ফাওবা)-

                                                                                                                                        
মথং-মনাও  রাজ্য/য়ু.তি.                       অপুনবা কেস মশিং  এক্তিব কেস  অপুনবা নাবা ফরবা/দিসচার্জ তৌরবা/মাইগ্রেৎ তৌরবা  অপুনবা লৈখিদবা
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১         অন্দমান অমসুং নিকোবর ইথৎ           ৩৫৭৪             ২০৪         ৩৩১৮                                            ৫২            
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
২         আন্ধ্র প্রদেশ                      ৫৮৩৯২৫           ৯২৩৫৩       ৪৮৬৫৩১                                          ৫০৪১          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৩         অরুনাচল প্রদেশ                     ৬৪৬৬             ১৭৯৫        ৪৬৫৮                                            ১৩            
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৪         অসম                                ১৪৬৫৭৫           ২৯১৮০       ১১৬৯০৩                                          ৪৯২           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৫         বিহার                              ১৬০৮৭১           ১৩০৫৫       ১৪৬৯৮০                                          ৮৩৬           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৬         চান্দিগর                           ৮৫৯২             ২৯৯১        ৫৫০২                                            ৯৯            
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৭         ছতিসগর                             ৭০৭৭৭            ৩৫৯০৯       ৩৪২৭৯                                           ৫৮৯           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৮         দি. অমসুং দি. অমসুং দি. অমসুং এন.  ২৭৮৩             ২২৯         ২৫৫২                                            ২             
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
৯         দিল্লী                             ২২৫৭৯৬           ২৯৭৮৭       ১৯১২০৩                                          ৪৮০৬          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১০        গোৱা                               ২৫৫১১            ৫১০২        ২০০৯৪                                           ৩১৫           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১১        গুজরাত                             ১১৬১৮৩           ১৬৩৫৭       ৯৬৫৮২                                           ৩২৪৪          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১২        হরয়ানা                             ৯৮৬২২            ২০৪৩০       ৭৭১৬৬                                           ১০২৬          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১৩        হিমাচল প্রদেশ                      ১০৩৩৫            ৩৮০১        ৬৪৪৪                                            ৯০            
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
১৪        জম্মু অমসুং কশ্মির                 ৫৬৬৫৪            ১৮৬৭৮       ৩৭০৬২                                           ৯১৪           
