      ਪੇਂਡੂ ਵਿਕਾਸ ਮੰਤਰਾਲਾ

      ਮਨਰੇਗਾ ਦੇ ਤਹਿਤ ਮਾਨਵ ਦਿਵਸ
      Posted On: 15 SEP 2020 7:33PM by PIB Chandigarh


    ਵਿੱਤ ਵਰ੍ਹੇ 2020-21 ਦੌਰਾਨ ਅਪ੍ਰੈਲ , ਮਈ , ਜੂਨ , ਜੁਲਾਈ , ਅਗਸਤ ਦੇ ਮਹੀਨਿਆਂ ਵਿੱਚ ਮਨਰੇਗਾ ਦੇ ਤਹਿਤ ਦਿੱਤੇ ਰੋਜ਼ਗਾਰ ਦੇ ਮਹੀਨਾਵਾਰ ਔਸਤਨ ਦਿਨ ਹੇਠ ਦਿੱਤੇ ਗਏ ਹਨ:

                                                          
ਲੜੀ ਨੰਬਰ  ਰਾਜ                 ਅਪ੍ਰੈਲ  ਮਈ  ਜੂਨ  ਜੁਲਾਈ  ਅਗਸਤ
                                                          
                                                          
                                                          
1         ਆਂਧਰ ਪ੍ਰਦੇਸ਼         11      18  19   10     8   
                                                          
                                                          
                                                          
2         ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼      15      17  15   15     15  
                                                          
                                                          
                                                          
3         ਅਸਾਮ                6       11  12   12     11  
                                                          
                                                          
                                                          
4         ਬਿਹਾਰ               16      18  17   16     15  
                                                          
                                                          
                                                          
5         ਛੱਤੀਸਗੜ੍ਹ           13      21  14   10     12  
                                                          
                                                          
                                                          
6         ਗੋਆ                 5       10  9    9      7   
                                                          
                                                          
                                                          
7         ਗੁਜਰਾਤ              11      21  19   16     14  
                                                          
                                                          
                                                          
8         ਹਰਿਆਣਾ              8       11  13   13     11  
                                                          
                                                          
                                                          
9         ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼      13      16  18   17     16  
                                                          
                                                          
                                                          
10        ਜੰਮੂ ਅਤੇ ਕਸ਼ਮੀਰ     12      19  19   21     17  
                                                          
                                                          
                                                          
11        ਝਾਰਖੰਡ              11      15  15   12     12  
                                                          
                                                          
                                                          
12        ਕਾਰਨਾਟਕ             16      18  18   17     16  
                                                          
                                                          
                                                          
13        ਕੇਰਲ                6       9   11   11     9   
                                                          
                                                          
                                                          
14        ਮੱਧ ਪ੍ਰਦੇਸ਼          10      20  19   18     16  
                                                          
                                                          
                                                          
15        ਮਹਾਰਾਸ਼ਟਰ           13      17  15   15     14  
                                                          
                                                          
                                                          
16        ਮਣੀਪੁਰ              8       10  11   14     13  
                                                          
                                                          
                                                          
17        ਮੇਘਾਲਿਆ             11      14  18   17     16  
                                                          
                                                          
                                                          
18        ਮਿਜ਼ੋਰਮ              4       14  13   14     12  
                                                          
                                                          
                                                          
19        ਨਾਗਾਲੈਂਡ            2       10  8    8      8   
                                                          
                                                          
                                                          
20        ਓਡੀਸ਼ਾ              14      19  18   17     16  
                                                          
                                                          
                                                          
21        ਪੰਜਾਬ               9       9   9    12     11  
                                                          
                                                          
                                                          
22        ਰਾਜਸਥਾਨ             12      18  20   17     15  
                                                          
                                                          
                                                          
23        ਸਿੱਕਿਮ              10      14  16   16     14  
                                                          
                                                          
                                                          
24        ਤਮਿਲ ਨਾਡੂ           4       7   9    10     8   
                                                          
                                                          
                                                          
25        ਤੇਲੰਗਾਨਾ            13      23  13   9      8   
                                                          
                                                          
                                                          
26        ਤ੍ਰਿਪੁਰਾ            7       11  11   12     12  
                                                          
                                                          
                                                          
27        ਉੱਤਰ ਪ੍ਰਦੇਸ਼         10      15  15   13     12  
                                                          
                                                          
                                                          
28        ਉੱਤਰਾਖੰਡ            13      14  15   15     14  
                                                          
                                                          
                                                          
29        ਪੱਛਮ ਬੰਗਾਲ          17      17  17   16     14  
                                                          
                                                          
                                                          
30        ਅੰਡੇਮਾਨ ਤੇ ਨਿਕੋਬਾਰ  8       12  11   11     7   
                                                          
                                                          
                                                          
31        ਦਾਦਰਾ ਤੇ ਨਗਰ ਹਵੇਲੀ  0       0   0    0      0   
                                                          
                                                          
                                                          
32        ਦਮਨ ਅਤੇ ਦੀਊ         0       0   0    0      0   
                                                          
                                                          
                                                          
33        ਲਕਸ਼ਦੀਪ             14      14  21   12     12  
                                                          
                                                          
                                                          
34        ਪੁਦੂਚੇਰੀ            4       6   8    7      7   
                                                          
                                                          
                                                          
          ਰਾਸ਼ਟਰੀ ਔਸਤ         12      17  6    14     12  
                                                          
                                                          

    ਇਹ ਜਾਣਕਾਰੀ ਕੇਂਦਰੀ ਗ੍ਰਾਮੀਣ ਵਿਕਾਸ ਅਤੇ ਪੰਚਾਇਤੀ ਰਾਜ ਮੰਤਰੀ ਸ਼੍ਰੀ ਨਰੇਂਦਰ ਸਿੰਘ ਤੋਮਰ ਨੇ ਅੱਜ ਲੋਕ ਸਭਾ ਵਿੱਚ ਇੱਕ ਲਿਖਤੀ ਜਵਾਬ ਵਿੱਚ ਦਿੱਤੀ।


    *******


    ਏਪੀਐੱਸ / ਐੱਸਜੀ

    
    
    (Release ID: 1654755) Visitor Counter : 2
    
    
      Read this release in: English , Manipuri
